payment_key,payment_id,payment_method,payment_status,payment_provider
88,PAY-00088,QRIS,Paid,ShopeePay
89,PAY-00089,Debit Card,Paid,BNI
90,PAY-00090,E-Wallet,Failed,GoPay
91,PAY-00091,QRIS,Paid,Mastercard
92,PAY-00092,QRIS,Paid,Erajaya POS
93,PAY-00093,QRIS,Pending,BCA
94,PAY-00094,E-Wallet,Paid,Mastercard
95,PAY-00095,Bank Transfer,Paid,Erajaya POS
96,PAY-00096,Bank Transfer,Paid,ShopeePay
97,PAY-00097,Debit Card,Paid,BNI
98,PAY-00098,QRIS,Paid,BRI
99,PAY-00099,QRIS,Paid,Visa
100,PAY-00100,E-Wallet,Paid,ShopeePay
101,PAY-00101,E-Wallet,Pending,Erajaya POS
102,PAY-00102,Credit Card,Paid,Mandiri
103,PAY-00103,Cash,Pending,GoPay
104,PAY-00104,QRIS,Paid,ShopeePay
105,PAY-00105,Cash,Paid,BNI
106,PAY-00106,Cash,Paid,BNI
107,PAY-00107,Credit Card,Paid,GoPay
108,PAY-00108,Cash,Paid,BRI
109,PAY-00109,Debit Card,Paid,Visa
110,PAY-00110,QRIS,Paid,BRI
111,PAY-00111,Debit Card,Paid,ShopeePay
112,PAY-00112,E-Wallet,Paid,Mandiri
113,PAY-00113,Cash,Paid,ShopeePay
114,PAY-00114,QRIS,Paid,Erajaya POS
115,PAY-00115,Bank Transfer,Failed,ShopeePay
116,PAY-00116,E-Wallet,Refunded,BRI
117,PAY-00117,Debit Card,Paid,Erajaya POS
118,PAY-00118,E-Wallet,Paid,BNI
119,PAY-00119,Credit Card,Paid,Erajaya POS
120,PAY-00120,QRIS,Paid,BCA
121,PAY-00121,Credit Card,Paid,Erajaya POS
122,PAY-00122,Debit Card,Paid,Erajaya POS
123,PAY-00123,QRIS,Refunded,OVO
124,PAY-00124,E-Wallet,Paid,Mandiri
125,PAY-00125,Credit Card,Paid,Visa
126,PAY-00126,E-Wallet,Paid,BCA
127,PAY-00127,E-Wallet,Paid,OVO
128,PAY-00128,Cash,Paid,OVO
129,PAY-00129,Cash,Paid,BNI
130,PAY-00130,QRIS,Paid,BNI
131,PAY-00131,Credit Card,Paid,BNI
132,PAY-00132,E-Wallet,Paid,Mandiri
133,PAY-00133,Credit Card,Paid,Mastercard
134,PAY-00134,Credit Card,Paid,Visa
135,PAY-00135,Debit Card,Paid,BCA
136,PAY-00136,E-Wallet,Paid,BCA
137,PAY-00137,Credit Card,Paid,Erajaya POS
138,PAY-00138,Bank Transfer,Pending,OVO
139,PAY-00139,Bank Transfer,Paid,Erajaya POS
140,PAY-00140,Bank Transfer,Paid,GoPay
141,PAY-00141,Debit Card,Paid,OVO
142,PAY-00142,Cash,Paid,BRI
143,PAY-00143,Credit Card,Paid,Erajaya POS
144,PAY-00144,Cash,Paid,Erajaya POS
145,PAY-00145,Cash,Paid,OVO
146,PAY-00146,Debit Card,Paid,BNI
147,PAY-00147,E-Wallet,Failed,BRI
148,PAY-00148,QRIS,Paid,Mandiri
149,PAY-00149,Credit Card,Paid,Erajaya POS
150,PAY-00150,Debit Card,Paid,Mandiri
151,PAY-00151,Debit Card,Paid,BCA
152,PAY-00152,Bank Transfer,Paid,BNI
153,PAY-00153,Bank Transfer,Paid,GoPay
154,PAY-00154,Bank Transfer,Paid,BCA
155,PAY-00155,QRIS,Paid,BRI
156,PAY-00156,Bank Transfer,Paid,GoPay
157,PAY-00157,Credit Card,Paid,BRI
158,PAY-00158,Bank Transfer,Paid,ShopeePay
159,PAY-00159,QRIS,Paid,BRI
160,PAY-00160,E-Wallet,Paid,OVO
161,PAY-00161,Credit Card,Paid,BNI
162,PAY-00162,Cash,Paid,Mandiri
163,PAY-00163,QRIS,Paid,Visa
164,PAY-00164,QRIS,Paid,Visa
165,PAY-00165,Credit Card,Paid,BNI
166,PAY-00166,Cash,Paid,Mandiri
167,PAY-00167,Cash,Paid,ShopeePay
168,PAY-00168,QRIS,Paid,Mandiri
169,PAY-00169,Credit Card,Paid,ShopeePay
170,PAY-00170,Debit Card,Paid,Erajaya POS
171,PAY-00171,Debit Card,Paid,ShopeePay
172,PAY-00172,Bank Transfer,Paid,Visa
173,PAY-00173,Bank Transfer,Paid,OVO
174,PAY-00174,QRIS,Pending,Mastercard
175,PAY-00175,Bank Transfer,Paid,BCA
176,PAY-00176,Bank Transfer,Pending,Erajaya POS
177,PAY-00177,QRIS,Paid,OVO
178,PAY-00178,Debit Card,Paid,Mastercard
179,PAY-00179,Credit Card,Paid,Erajaya POS
180,PAY-00180,Credit Card,Paid,BNI
181,PAY-00181,Credit Card,Paid,GoPay
182,PAY-00182,Credit Card,Paid,BNI
183,PAY-00183,Cash,Paid,Erajaya POS
184,PAY-00184,Debit Card,Paid,Erajaya POS
185,PAY-00185,Credit Card,Paid,GoPay
186,PAY-00186,QRIS,Paid,ShopeePay
187,PAY-00187,Credit Card,Paid,ShopeePay
188,PAY-00188,QRIS,Paid,Erajaya POS
189,PAY-00189,QRIS,Paid,Mastercard
190,PAY-00190,E-Wallet,Paid,GoPay
191,PAY-00191,Debit Card,Paid,BRI
192,PAY-00192,Debit Card,Paid,OVO
193,PAY-00193,Debit Card,Paid,Mastercard
194,PAY-00194,Bank Transfer,Paid,Mastercard
195,PAY-00195,Credit Card,Paid,BCA
196,PAY-00196,Debit Card,Paid,Visa
197,PAY-00197,E-Wallet,Paid,BCA
198,PAY-00198,Debit Card,Refunded,BRI
199,PAY-00199,Credit Card,Paid,Mastercard
200,PAY-00200,Bank Transfer,Paid,BRI
201,PAY-00201,Debit Card,Paid,BRI
202,PAY-00202,Bank Transfer,Paid,OVO
203,PAY-00203,Bank Transfer,Paid,BCA
204,PAY-00204,Debit Card,Paid,BNI
205,PAY-00205,E-Wallet,Paid,OVO
206,PAY-00206,E-Wallet,Pending,ShopeePay
207,PAY-00207,Debit Card,Paid,Mandiri
208,PAY-00208,QRIS,Paid,GoPay
209,PAY-00209,E-Wallet,Paid,Mandiri
210,PAY-00210,QRIS,Paid,ShopeePay
211,PAY-00211,Debit Card,Paid,GoPay
212,PAY-00212,Bank Transfer,Paid,BNI
213,PAY-00213,Bank Transfer,Paid,ShopeePay
214,PAY-00214,E-Wallet,Paid,Visa
215,PAY-00215,Bank Transfer,Paid,BCA
216,PAY-00216,Credit Card,Pending,BCA
217,PAY-00217,QRIS,Paid,OVO
218,PAY-00218,Credit Card,Paid,Mandiri
219,PAY-00219,QRIS,Paid,Erajaya POS
220,PAY-00220,Cash,Paid,Visa
221,PAY-00221,Credit Card,Refunded,Mastercard
222,PAY-00222,Bank Transfer,Paid,Mandiri
223,PAY-00223,E-Wallet,Paid,Mandiri
224,PAY-00224,QRIS,Paid,Mandiri
225,PAY-00225,E-Wallet,Pending,OVO
226,PAY-00226,Bank Transfer,Paid,BCA
227,PAY-00227,Bank Transfer,Paid,BRI
228,PAY-00228,QRIS,Paid,OVO
229,PAY-00229,QRIS,Paid,Mastercard
230,PAY-00230,Cash,Paid,BCA
231,PAY-00231,Debit Card,Paid,Mastercard
232,PAY-00232,Credit Card,Paid,Erajaya POS
233,PAY-00233,Bank Transfer,Paid,Erajaya POS
234,PAY-00234,E-Wallet,Paid,Mandiri
235,PAY-00235,E-Wallet,Paid,ShopeePay
236,PAY-00236,E-Wallet,Paid,Mastercard
237,PAY-00237,Credit Card,Paid,BNI
238,PAY-00238,QRIS,Paid,BRI
239,PAY-00239,QRIS,Paid,Mastercard
240,PAY-00240,Credit Card,Paid,GoPay
241,PAY-00241,Credit Card,Paid,OVO
242,PAY-00242,Debit Card,Refunded,Mastercard
243,PAY-00243,E-Wallet,Paid,BNI
244,PAY-00244,E-Wallet,Paid,BNI
245,PAY-00245,Debit Card,Paid,Erajaya POS
246,PAY-00246,Bank Transfer,Paid,OVO
247,PAY-00247,Debit Card,Paid,BNI
248,PAY-00248,E-Wallet,Paid,BRI
249,PAY-00249,Debit Card,Paid,Mastercard
250,PAY-00250,Cash,Paid,BNI
251,PAY-00251,Debit Card,Paid,ShopeePay
252,PAY-00252,Credit Card,Paid,OVO
253,PAY-00253,QRIS,Paid,BNI
254,PAY-00254,Credit Card,Paid,BRI
255,PAY-00255,Credit Card,Paid,Mastercard
256,PAY-00256,Bank Transfer,Paid,OVO
257,PAY-00257,Credit Card,Paid,BCA
258,PAY-00258,QRIS,Paid,Visa
259,PAY-00259,QRIS,Paid,GoPay
260,PAY-00260,Credit Card,Paid,BCA
261,PAY-00261,Credit Card,Paid,BRI
262,PAY-00262,QRIS,Paid,GoPay
263,PAY-00263,Credit Card,Paid,BNI
264,PAY-00264,Credit Card,Paid,Mandiri
265,PAY-00265,Cash,Paid,Mandiri
266,PAY-00266,Credit Card,Paid,Mastercard
267,PAY-00267,E-Wallet,Paid,BNI
268,PAY-00268,QRIS,Paid,GoPay
269,PAY-00269,Credit Card,Paid,Mandiri
270,PAY-00270,Credit Card,Paid,ShopeePay
271,PAY-00271,QRIS,Paid,BCA
272,PAY-00272,QRIS,Paid,ShopeePay
273,PAY-00273,Credit Card,Paid,GoPay
274,PAY-00274,QRIS,Paid,GoPay
275,PAY-00275,QRIS,Paid,GoPay
276,PAY-00276,E-Wallet,Paid,BNI
277,PAY-00277,Cash,Paid,BCA
278,PAY-00278,QRIS,Paid,Erajaya POS
279,PAY-00279,E-Wallet,Failed,Mandiri
280,PAY-00280,Credit Card,Paid,ShopeePay
281,PAY-00281,Credit Card,Paid,GoPay
282,PAY-00282,QRIS,Paid,ShopeePay
283,PAY-00283,E-Wallet,Paid,BCA
284,PAY-00284,Credit Card,Paid,BRI
285,PAY-00285,E-Wallet,Paid,Erajaya POS
286,PAY-00286,Bank Transfer,Paid,ShopeePay
287,PAY-00287,Cash,Paid,OVO
288,PAY-00288,Cash,Paid,ShopeePay
289,PAY-00289,QRIS,Paid,Erajaya POS
290,PAY-00290,E-Wallet,Paid,Mastercard
291,PAY-00291,E-Wallet,Paid,Erajaya POS
292,PAY-00292,QRIS,Paid,BCA
293,PAY-00293,Cash,Paid,ShopeePay
294,PAY-00294,Bank Transfer,Paid,Visa
295,PAY-00295,E-Wallet,Paid,Mastercard
296,PAY-00296,Debit Card,Paid,ShopeePay
297,PAY-00297,Credit Card,Paid,Visa
298,PAY-00298,QRIS,Paid,Erajaya POS
299,PAY-00299,Credit Card,Paid,BRI
300,PAY-00300,Cash,Paid,BNI
301,PAY-00301,Debit Card,Paid,BRI
302,PAY-00302,QRIS,Paid,Mastercard
303,PAY-00303,Bank Transfer,Pending,BRI
304,PAY-00304,Debit Card,Paid,OVO
305,PAY-00305,E-Wallet,Paid,BCA
306,PAY-00306,E-Wallet,Paid,Mandiri
307,PAY-00307,Credit Card,Paid,GoPay
308,PAY-00308,E-Wallet,Paid,Erajaya POS
309,PAY-00309,QRIS,Refunded,Erajaya POS
310,PAY-00310,Credit Card,Paid,OVO
311,PAY-00311,Debit Card,Paid,Mastercard
312,PAY-00312,Debit Card,Paid,ShopeePay
313,PAY-00313,QRIS,Paid,Mandiri
314,PAY-00314,Bank Transfer,Paid,GoPay
315,PAY-00315,Bank Transfer,Paid,GoPay
316,PAY-00316,Bank Transfer,Paid,BNI
317,PAY-00317,E-Wallet,Paid,ShopeePay
318,PAY-00318,QRIS,Paid,BRI
319,PAY-00319,Credit Card,Paid,Mastercard
320,PAY-00320,E-Wallet,Paid,BRI
321,PAY-00321,Debit Card,Paid,BRI
322,PAY-00322,E-Wallet,Paid,OVO
323,PAY-00323,QRIS,Failed,Visa
324,PAY-00324,Credit Card,Paid,Erajaya POS
325,PAY-00325,Debit Card,Paid,BCA
326,PAY-00326,QRIS,Paid,BNI
327,PAY-00327,Bank Transfer,Paid,GoPay
328,PAY-00328,E-Wallet,Paid,BCA
329,PAY-00329,Debit Card,Paid,BNI
330,PAY-00330,Bank Transfer,Paid,BRI
331,PAY-00331,Cash,Paid,OVO
332,PAY-00332,QRIS,Paid,GoPay
333,PAY-00333,QRIS,Paid,OVO
334,PAY-00334,Credit Card,Failed,ShopeePay
335,PAY-00335,Debit Card,Paid,OVO
336,PAY-00336,E-Wallet,Paid,OVO
337,PAY-00337,E-Wallet,Paid,Mandiri
338,PAY-00338,E-Wallet,Paid,Visa
339,PAY-00339,Debit Card,Paid,Visa
340,PAY-00340,QRIS,Paid,BCA
341,PAY-00341,Credit Card,Paid,BCA
342,PAY-00342,Credit Card,Paid,Mandiri
343,PAY-00343,Cash,Paid,BRI
344,PAY-00344,QRIS,Paid,Visa
345,PAY-00345,Credit Card,Paid,GoPay
346,PAY-00346,Credit Card,Paid,Mastercard
347,PAY-00347,Credit Card,Paid,Visa
348,PAY-00348,Credit Card,Paid,GoPay
349,PAY-00349,Debit Card,Paid,Mastercard
350,PAY-00350,Cash,Paid,Mastercard
351,PAY-00351,Bank Transfer,Paid,Erajaya POS
352,PAY-00352,E-Wallet,Failed,ShopeePay
353,PAY-00353,Cash,Paid,Mastercard
354,PAY-00354,E-Wallet,Paid,Visa
355,PAY-00355,Credit Card,Paid,GoPay
356,PAY-00356,Credit Card,Paid,Mastercard
357,PAY-00357,Bank Transfer,Paid,Erajaya POS
358,PAY-00358,Debit Card,Refunded,OVO
359,PAY-00359,Bank Transfer,Paid,BCA
360,PAY-00360,QRIS,Paid,BNI
361,PAY-00361,Bank Transfer,Paid,BRI
362,PAY-00362,Bank Transfer,Paid,Erajaya POS
363,PAY-00363,E-Wallet,Paid,ShopeePay
364,PAY-00364,QRIS,Pending,Mastercard
365,PAY-00365,E-Wallet,Paid,BCA
366,PAY-00366,Bank Transfer,Paid,ShopeePay
367,PAY-00367,QRIS,Paid,GoPay
368,PAY-00368,Credit Card,Paid,Visa
369,PAY-00369,Debit Card,Paid,GoPay
370,PAY-00370,Debit Card,Paid,ShopeePay
371,PAY-00371,QRIS,Paid,Mandiri
372,PAY-00372,QRIS,Paid,Erajaya POS
373,PAY-00373,Bank Transfer,Paid,ShopeePay
374,PAY-00374,Cash,Paid,BRI
375,PAY-00375,Credit Card,Paid,GoPay
376,PAY-00376,E-Wallet,Paid,Mastercard
377,PAY-00377,Credit Card,Paid,Mandiri
378,PAY-00378,E-Wallet,Failed,OVO
379,PAY-00379,QRIS,Paid,Mandiri
380,PAY-00380,Bank Transfer,Paid,OVO
381,PAY-00381,QRIS,Paid,OVO
382,PAY-00382,Bank Transfer,Paid,BRI
383,PAY-00383,Credit Card,Paid,Erajaya POS
384,PAY-00384,Cash,Paid,ShopeePay
385,PAY-00385,Credit Card,Paid,BCA
386,PAY-00386,Credit Card,Refunded,OVO
387,PAY-00387,E-Wallet,Paid,Visa
388,PAY-00388,E-Wallet,Pending,GoPay
389,PAY-00389,Debit Card,Paid,ShopeePay
390,PAY-00390,E-Wallet,Paid,Visa
391,PAY-00391,E-Wallet,Paid,Erajaya POS
392,PAY-00392,Credit Card,Paid,BCA
393,PAY-00393,Debit Card,Paid,Erajaya POS
394,PAY-00394,E-Wallet,Paid,BRI
395,PAY-00395,Bank Transfer,Paid,Erajaya POS
396,PAY-00396,Credit Card,Paid,BRI
397,PAY-00397,Bank Transfer,Paid,BRI
398,PAY-00398,Bank Transfer,Paid,Mandiri
399,PAY-00399,Cash,Paid,BNI
400,PAY-00400,E-Wallet,Paid,Mastercard
401,PAY-00401,Credit Card,Paid,Mandiri
402,PAY-00402,Credit Card,Paid,Erajaya POS
403,PAY-00403,Credit Card,Paid,GoPay
404,PAY-00404,QRIS,Failed,OVO
405,PAY-00405,Credit Card,Paid,OVO
406,PAY-00406,Debit Card,Paid,GoPay
407,PAY-00407,Credit Card,Paid,BRI
408,PAY-00408,Debit Card,Paid,Erajaya POS
409,PAY-00409,E-Wallet,Paid,OVO
410,PAY-00410,E-Wallet,Paid,Mastercard
411,PAY-00411,Debit Card,Paid,BRI
412,PAY-00412,E-Wallet,Paid,Erajaya POS
413,PAY-00413,QRIS,Paid,ShopeePay
414,PAY-00414,Debit Card,Paid,BNI
415,PAY-00415,E-Wallet,Paid,OVO
416,PAY-00416,QRIS,Paid,BNI
417,PAY-00417,QRIS,Paid,GoPay
418,PAY-00418,E-Wallet,Paid,Mastercard
419,PAY-00419,E-Wallet,Paid,BRI
420,PAY-00420,Cash,Paid,BRI
421,PAY-00421,QRIS,Paid,Erajaya POS
422,PAY-00422,Bank Transfer,Paid,BNI
423,PAY-00423,Debit Card,Paid,Mastercard
424,PAY-00424,E-Wallet,Paid,Mandiri
425,PAY-00425,QRIS,Paid,BRI
426,PAY-00426,Cash,Paid,Erajaya POS
427,PAY-00427,Bank Transfer,Failed,Mandiri
428,PAY-00428,Credit Card,Paid,Mandiri
429,PAY-00429,Credit Card,Failed,BCA
430,PAY-00430,Credit Card,Paid,BNI
431,PAY-00431,Credit Card,Paid,Mandiri
432,PAY-00432,E-Wallet,Paid,Erajaya POS
433,PAY-00433,E-Wallet,Paid,Visa
434,PAY-00434,Bank Transfer,Paid,Mastercard
435,PAY-00435,E-Wallet,Pending,OVO
436,PAY-00436,Credit Card,Paid,BRI
437,PAY-00437,Bank Transfer,Paid,ShopeePay
438,PAY-00438,Debit Card,Paid,Erajaya POS
439,PAY-00439,QRIS,Paid,BRI
440,PAY-00440,E-Wallet,Paid,Mandiri
441,PAY-00441,QRIS,Paid,BRI
442,PAY-00442,E-Wallet,Pending,BCA
443,PAY-00443,Debit Card,Paid,GoPay
444,PAY-00444,QRIS,Paid,BRI
445,PAY-00445,Bank Transfer,Paid,Mandiri
446,PAY-00446,Debit Card,Paid,Visa
447,PAY-00447,E-Wallet,Paid,BRI
448,PAY-00448,Cash,Paid,Visa
449,PAY-00449,E-Wallet,Paid,Mastercard
450,PAY-00450,E-Wallet,Refunded,BRI
451,PAY-00451,E-Wallet,Paid,OVO
452,PAY-00452,Debit Card,Paid,GoPay
453,PAY-00453,Credit Card,Paid,Visa
454,PAY-00454,Credit Card,Paid,BCA
455,PAY-00455,Cash,Paid,BRI
456,PAY-00456,Credit Card,Paid,Visa
457,PAY-00457,QRIS,Paid,BCA
458,PAY-00458,Bank Transfer,Paid,Mandiri
459,PAY-00459,Credit Card,Refunded,Erajaya POS
460,PAY-00460,Credit Card,Paid,Erajaya POS
461,PAY-00461,Cash,Paid,GoPay
462,PAY-00462,Debit Card,Paid,BRI
463,PAY-00463,Debit Card,Failed,GoPay
464,PAY-00464,Credit Card,Paid,BNI
465,PAY-00465,Debit Card,Paid,BNI
466,PAY-00466,Credit Card,Paid,Erajaya POS
467,PAY-00467,QRIS,Paid,BRI
468,PAY-00468,E-Wallet,Paid,ShopeePay
469,PAY-00469,Credit Card,Paid,GoPay
470,PAY-00470,Debit Card,Paid,Mandiri
471,PAY-00471,Credit Card,Paid,BCA
472,PAY-00472,E-Wallet,Paid,Mastercard
473,PAY-00473,Cash,Paid,Erajaya POS
474,PAY-00474,Bank Transfer,Paid,BCA
475,PAY-00475,E-Wallet,Paid,Mastercard
476,PAY-00476,E-Wallet,Paid,Visa
477,PAY-00477,E-Wallet,Paid,Mastercard
478,PAY-00478,Cash,Paid,Mastercard
479,PAY-00479,Bank Transfer,Paid,ShopeePay
480,PAY-00480,Credit Card,Paid,Mandiri
481,PAY-00481,Bank Transfer,Paid,BCA
482,PAY-00482,QRIS,Paid,GoPay
483,PAY-00483,E-Wallet,Paid,BNI
484,PAY-00484,Bank Transfer,Paid,ShopeePay
485,PAY-00485,QRIS,Paid,OVO
486,PAY-00486,QRIS,Paid,BRI
487,PAY-00487,QRIS,Paid,Mandiri
488,PAY-00488,Debit Card,Paid,Mandiri
489,PAY-00489,Debit Card,Paid,GoPay
490,PAY-00490,Debit Card,Paid,BCA
491,PAY-00491,Bank Transfer,Paid,GoPay
492,PAY-00492,QRIS,Paid,Mastercard
493,PAY-00493,E-Wallet,Paid,Mastercard
494,PAY-00494,Debit Card,Paid,Mandiri
495,PAY-00495,Debit Card,Paid,Mastercard
496,PAY-00496,QRIS,Paid,Mastercard
497,PAY-00497,E-Wallet,Paid,BCA
498,PAY-00498,QRIS,Paid,BCA
499,PAY-00499,QRIS,Paid,BNI
500,PAY-00500,Cash,Paid,BRI
501,PAY-00501,Debit Card,Paid,Visa
502,PAY-00502,QRIS,Paid,Erajaya POS
503,PAY-00503,Credit Card,Paid,Mandiri
504,PAY-00504,Debit Card,Paid,OVO
505,PAY-00505,QRIS,Failed,OVO
506,PAY-00506,Credit Card,Refunded,GoPay
507,PAY-00507,Bank Transfer,Paid,GoPay
508,PAY-00508,QRIS,Paid,BNI
509,PAY-00509,Cash,Failed,Mandiri
510,PAY-00510,Credit Card,Paid,OVO
511,PAY-00511,Bank Transfer,Paid,OVO
512,PAY-00512,Credit Card,Paid,Mandiri
513,PAY-00513,QRIS,Paid,GoPay
514,PAY-00514,Credit Card,Paid,Mandiri
515,PAY-00515,E-Wallet,Paid,OVO
516,PAY-00516,Debit Card,Paid,GoPay
517,PAY-00517,Debit Card,Paid,BNI
518,PAY-00518,Credit Card,Paid,Mandiri
519,PAY-00519,QRIS,Paid,OVO
520,PAY-00520,E-Wallet,Paid,OVO
521,PAY-00521,Bank Transfer,Paid,OVO
522,PAY-00522,Credit Card,Paid,Erajaya POS
523,PAY-00523,Cash,Paid,Mastercard
524,PAY-00524,QRIS,Paid,BCA
525,PAY-00525,QRIS,Paid,Mastercard
526,PAY-00526,Debit Card,Paid,BRI
527,PAY-00527,QRIS,Paid,BNI
528,PAY-00528,Bank Transfer,Paid,Erajaya POS
529,PAY-00529,Debit Card,Paid,BRI
530,PAY-00530,Bank Transfer,Paid,GoPay
531,PAY-00531,Bank Transfer,Paid,BNI
532,PAY-00532,QRIS,Paid,BCA
533,PAY-00533,Cash,Paid,OVO
534,PAY-00534,Cash,Paid,Mastercard
535,PAY-00535,Debit Card,Paid,Mandiri
536,PAY-00536,Debit Card,Paid,BRI
537,PAY-00537,QRIS,Failed,ShopeePay
538,PAY-00538,Debit Card,Failed,Erajaya POS
539,PAY-00539,Bank Transfer,Paid,BCA
540,PAY-00540,QRIS,Paid,OVO
541,PAY-00541,QRIS,Paid,BNI
542,PAY-00542,QRIS,Paid,BCA
543,PAY-00543,QRIS,Paid,OVO
544,PAY-00544,Cash,Failed,Mastercard
545,PAY-00545,Debit Card,Paid,OVO
546,PAY-00546,Debit Card,Failed,BNI
547,PAY-00547,E-Wallet,Paid,Mandiri
548,PAY-00548,QRIS,Paid,Mandiri
549,PAY-00549,E-Wallet,Paid,GoPay
550,PAY-00550,Bank Transfer,Paid,BCA
551,PAY-00551,Bank Transfer,Paid,Visa
552,PAY-00552,Bank Transfer,Paid,OVO
553,PAY-00553,E-Wallet,Paid,Visa
554,PAY-00554,Credit Card,Paid,Mastercard
555,PAY-00555,Debit Card,Paid,Mandiri
556,PAY-00556,Cash,Paid,BNI
557,PAY-00557,Cash,Paid,ShopeePay
558,PAY-00558,Credit Card,Paid,OVO
559,PAY-00559,Debit Card,Paid,ShopeePay
560,PAY-00560,Debit Card,Paid,BCA
561,PAY-00561,Debit Card,Paid,GoPay
562,PAY-00562,QRIS,Paid,OVO
563,PAY-00563,Debit Card,Paid,BRI
564,PAY-00564,Debit Card,Paid,ShopeePay
565,PAY-00565,Credit Card,Paid,BRI
566,PAY-00566,QRIS,Paid,GoPay
567,PAY-00567,E-Wallet,Paid,BNI
568,PAY-00568,Credit Card,Failed,BNI
569,PAY-00569,E-Wallet,Paid,ShopeePay
570,PAY-00570,Bank Transfer,Failed,BRI
571,PAY-00571,E-Wallet,Paid,BRI
