sales_key,transaction_id,detail_id,time_key,customer_key,product_key,store_key,channel_key,payment_key,promotion_key,quantity_sold,unit_price,gross_sales,discount_amount,net_sales,cost_amount,net_profit
30,TRX-00013,DTL-000030,20250501,103,56,6,2,13,21,1,5799000,5799000.0,0.0,5799000.0,4175000.0,1624000.0
31,TRX-00013,DTL-000031,20250501,103,48,6,2,13,21,1,16999000,16999000.0,0.0,16999000.0,12239000.0,4760000.0
32,TRX-00014,DTL-000032,20240906,346,70,16,2,14,21,2,6499000,12998000.0,0.0,12998000.0,9358000.0,3640000.0
33,TRX-00014,DTL-000033,20240906,346,17,16,2,14,21,2,22999000,45998000.0,0.0,45998000.0,33118000.0,12880000.0
34,TRX-00015,DTL-000034,20240130,308,67,20,2,15,10,1,3999000,3999000.0,199950.0,3799050.0,2879000.0,920050.0
35,TRX-00016,DTL-000035,20240524,170,8,15,2,16,2,2,10999000,21998000.0,1759840.0,20238160.0,15838000.0,4400160.0
36,TRX-00016,DTL-000036,20240524,170,98,15,2,16,21,1,1695000,1695000.0,0.0,1695000.0,1220000.0,475000.0
37,TRX-00016,DTL-000037,20240524,170,99,15,2,16,21,1,3079000,3079000.0,0.0,3079000.0,2217000.0,862000.0
38,TRX-00017,DTL-000038,20240612,704,53,13,2,17,21,1,5099000,5099000.0,0.0,5099000.0,3671000.0,1428000.0
39,TRX-00017,DTL-000039,20240612,704,54,13,2,17,21,1,4499000,4499000.0,0.0,4499000.0,3239000.0,1260000.0
40,TRX-00017,DTL-000040,20240612,704,51,13,2,17,4,1,6499000,6499000.0,779880.0,5719120.0,4679000.0,1040120.0
41,TRX-00017,DTL-000041,20240612,704,14,13,2,17,9,1,9499000,9499000.0,284970.0,9214030.0,6839000.0,2375030.0
42,TRX-00018,DTL-000042,20240314,994,36,19,2,18,11,1,3999000,3999000.0,319920.0,3679080.0,2879000.0,800080.0
43,TRX-00018,DTL-000043,20240314,994,5,19,2,18,21,1,13999000,13999000.0,0.0,13999000.0,10079000.0,3920000.0
44,TRX-00019,DTL-000044,20240521,1000,40,10,3,19,4,1,15999000,15999000.0,1919880.0,14079120.0,11519000.0,2560120.0
45,TRX-00019,DTL-000045,20240521,1000,62,10,3,19,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
46,TRX-00020,DTL-000046,20250211,477,98,3,2,20,21,1,1695000,1695000.0,0.0,1695000.0,1220000.0,475000.0
47,TRX-00020,DTL-000047,20250211,477,90,3,2,20,4,2,699000,1398000.0,167760.0,1230240.0,1006000.0,224240.0
48,TRX-00020,DTL-000048,20250211,477,8,3,2,20,21,1,10999000,10999000.0,0.0,10999000.0,7919000.0,3080000.0
49,TRX-00021,DTL-000049,20240225,650,81,4,2,21,21,1,7999000,7999000.0,0.0,7999000.0,5759000.0,2240000.0
50,TRX-00021,DTL-000050,20240225,650,8,4,2,21,17,1,10999000,10999000.0,1319880.0,9679120.0,7919000.0,1760120.0
51,TRX-00021,DTL-000051,20240225,650,6,4,2,21,5,3,12499000,37497000.0,2999760.0,34497240.0,26997000.0,7500240.0
52,TRX-00022,DTL-000052,20240322,957,20,23,1,22,21,1,3999000,3999000.0,0.0,3999000.0,2879000.0,1120000.0
53,TRX-00022,DTL-000053,20240322,957,24,23,1,22,21,2,399000,798000.0,0.0,798000.0,574000.0,224000.0
54,TRX-00023,DTL-000054,20240221,436,92,11,2,23,11,1,649000,649000.0,51920.0,597080.0,467000.0,130080.0
55,TRX-00023,DTL-000055,20240221,436,84,11,2,23,21,1,1399000,1399000.0,0.0,1399000.0,1007000.0,392000.0
56,TRX-00023,DTL-000056,20240221,436,20,11,2,23,3,1,3999000,3999000.0,319920.0,3679080.0,2879000.0,800080.0
57,TRX-00024,DTL-000057,20240327,149,89,21,2,24,21,1,779000,779000.0,0.0,779000.0,561000.0,218000.0
58,TRX-00024,DTL-000058,20240327,149,4,21,2,24,21,1,16999000,16999000.0,0.0,16999000.0,12239000.0,4760000.0
59,TRX-00025,DTL-000059,20240211,151,73,20,2,25,21,1,4299000,4299000.0,0.0,4299000.0,3095000.0,1204000.0
60,TRX-00025,DTL-000060,20240211,151,93,20,2,25,21,1,699000,699000.0,0.0,699000.0,503000.0,196000.0
61,TRX-00026,DTL-000061,20240322,585,13,9,3,26,21,1,6499000,6499000.0,0.0,6499000.0,4679000.0,1820000.0
62,TRX-00026,DTL-000062,20240322,585,6,9,3,26,21,1,12499000,12499000.0,0.0,12499000.0,8999000.0,3500000.0
63,TRX-00026,DTL-000063,20240322,585,32,9,3,26,21,1,28499000,28499000.0,0.0,28499000.0,20519000.0,7980000.0
64,TRX-00026,DTL-000064,20240322,585,10,9,3,26,21,1,12599000,12599000.0,0.0,12599000.0,9071000.0,3528000.0
65,TRX-00027,DTL-000065,20240216,695,54,10,2,27,21,1,4499000,4499000.0,0.0,4499000.0,3239000.0,1260000.0
66,TRX-00028,DTL-000066,20241121,727,99,11,3,28,21,1,3079000,3079000.0,0.0,3079000.0,2217000.0,862000.0
67,TRX-00028,DTL-000067,20241121,727,32,11,3,28,21,2,28499000,56998000.0,0.0,56998000.0,41038000.0,15960000.0
68,TRX-00029,DTL-000068,20240113,843,29,15,2,29,21,1,17499000,17499000.0,0.0,17499000.0,12599000.0,4900000.0
69,TRX-00029,DTL-000069,20240113,843,59,15,2,29,21,1,2299000,2299000.0,0.0,2299000.0,1655000.0,644000.0
70,TRX-00030,DTL-000070,20250513,766,46,17,1,30,21,1,2999000,2999000.0,0.0,2999000.0,2159000.0,840000.0
71,TRX-00030,DTL-000071,20250513,766,79,17,1,30,18,1,18999000,18999000.0,2849850.0,16149150.0,13679000.0,2470150.0
72,TRX-00031,DTL-000072,20240124,503,77,8,2,31,21,1,1999000,1999000.0,0.0,1999000.0,1439000.0,560000.0
73,TRX-00031,DTL-000073,20240124,503,75,8,2,31,21,1,4699000,4699000.0,0.0,4699000.0,3383000.0,1316000.0
74,TRX-00031,DTL-000074,20240124,503,52,8,2,31,9,1,2099000,2099000.0,62970.0,2036030.0,1511000.0,525030.0
75,TRX-00031,DTL-000075,20240124,503,61,8,2,31,12,1,5599000,5599000.0,559900.0,5039100.0,4031000.0,1008100.0
76,TRX-00032,DTL-000076,20241012,109,54,22,2,32,21,1,4499000,4499000.0,0.0,4499000.0,3239000.0,1260000.0
77,TRX-00032,DTL-000077,20241012,109,51,22,2,32,21,1,6499000,6499000.0,0.0,6499000.0,4679000.0,1820000.0
78,TRX-00033,DTL-000078,20240104,476,14,21,2,33,21,1,9499000,9499000.0,0.0,9499000.0,6839000.0,2660000.0
79,TRX-00033,DTL-000079,20240104,476,15,21,2,33,21,3,13599000,40797000.0,0.0,40797000.0,29373000.0,11424000.0
80,TRX-00033,DTL-000080,20240104,476,100,21,2,33,21,1,1799000,1799000.0,0.0,1799000.0,1295000.0,504000.0
81,TRX-00034,DTL-000081,20250222,171,73,19,2,34,21,1,4299000,4299000.0,0.0,4299000.0,3095000.0,1204000.0
82,TRX-00034,DTL-000082,20250222,171,38,19,2,34,21,2,1599000,3198000.0,0.0,3198000.0,2302000.0,896000.0
83,TRX-00034,DTL-000083,20250222,171,19,19,2,34,21,1,14999000,14999000.0,0.0,14999000.0,10799000.0,4200000.0
84,TRX-00035,DTL-000084,20240902,944,27,7,3,35,18,1,16499000,16499000.0,2474850.0,14024150.0,11879000.0,2145150.0
85,TRX-00035,DTL-000085,20240902,944,92,7,3,35,19,1,649000,649000.0,32450.0,616550.0,467000.0,149550.0
86,TRX-00036,DTL-000086,20250527,858,23,11,1,36,21,1,499000,499000.0,0.0,499000.0,359000.0,140000.0
87,TRX-00036,DTL-000087,20250527,858,66,11,1,36,1,3,5499000,16497000.0,494910.0,16002090.0,11877000.0,4125090.0
88,TRX-00036,DTL-000088,20250527,858,44,11,1,36,21,1,4499000,4499000.0,0.0,4499000.0,3239000.0,1260000.0
89,TRX-00036,DTL-000089,20250527,858,37,11,1,36,21,1,2999000,2999000.0,0.0,2999000.0,2159000.0,840000.0
90,TRX-00037,DTL-000090,20240503,547,8,23,1,37,12,2,10999000,21998000.0,2199800.0,19798200.0,15838000.0,3960200.0
91,TRX-00038,DTL-000091,20250326,150,52,9,2,38,21,1,2099000,2099000.0,0.0,2099000.0,1511000.0,588000.0
92,TRX-00038,DTL-000092,20250326,150,81,9,2,38,7,1,7999000,7999000.0,799900.0,7199100.0,5759000.0,1440100.0
93,TRX-00038,DTL-000093,20250326,150,44,9,2,38,3,2,4499000,8998000.0,719840.0,8278160.0,6478000.0,1800160.0
94,TRX-00039,DTL-000094,20250518,351,18,10,1,39,21,2,7999000,15998000.0,0.0,15998000.0,11518000.0,4480000.0
95,TRX-00039,DTL-000095,20250518,351,73,10,1,39,21,1,4299000,4299000.0,0.0,4299000.0,3095000.0,1204000.0
96,TRX-00039,DTL-000096,20250518,351,47,10,1,39,9,1,12499000,12499000.0,374970.0,12124030.0,8999000.0,3125030.0
97,TRX-00040,DTL-000097,20241025,650,3,10,2,40,21,1,18499000,18499000.0,0.0,18499000.0,13319000.0,5180000.0
98,TRX-00040,DTL-000098,20241025,650,56,10,2,40,9,1,5799000,5799000.0,173970.0,5625030.0,4175000.0,1450030.0
99,TRX-00040,DTL-000099,20241025,650,79,10,2,40,7,2,18999000,37998000.0,3799800.0,34198200.0,27358000.0,6840200.0
100,TRX-00041,DTL-000100,20240113,764,65,17,2,41,21,1,6299000,6299000.0,0.0,6299000.0,4535000.0,1764000.0
101,TRX-00041,DTL-000101,20240113,764,44,17,2,41,21,1,4499000,4499000.0,0.0,4499000.0,3239000.0,1260000.0
102,TRX-00042,DTL-000102,20250508,15,33,22,3,42,4,1,15999000,15999000.0,1919880.0,14079120.0,11519000.0,2560120.0
103,TRX-00042,DTL-000103,20250508,15,40,22,3,42,21,1,15999000,15999000.0,0.0,15999000.0,11519000.0,4480000.0
104,TRX-00042,DTL-000104,20250508,15,53,22,3,42,21,2,5099000,10198000.0,0.0,10198000.0,7342000.0,2856000.0
105,TRX-00042,DTL-000105,20250508,15,73,22,3,42,21,1,4299000,4299000.0,0.0,4299000.0,3095000.0,1204000.0
106,TRX-00043,DTL-000106,20240726,1000,95,21,1,43,17,1,399000,399000.0,47880.0,351120.0,287000.0,64120.0
107,TRX-00044,DTL-000107,20240227,251,84,9,1,44,21,1,1399000,1399000.0,0.0,1399000.0,1007000.0,392000.0
108,TRX-00044,DTL-000108,20240227,251,14,9,1,44,21,1,9499000,9499000.0,0.0,9499000.0,6839000.0,2660000.0
109,TRX-00044,DTL-000109,20240227,251,24,9,1,44,19,1,399000,399000.0,19950.0,379050.0,287000.0,92050.0
110,TRX-00045,DTL-000110,20240306,213,8,8,3,45,21,1,10999000,10999000.0,0.0,10999000.0,7919000.0,3080000.0
111,TRX-00045,DTL-000111,20240306,213,55,8,3,45,21,1,3299000,3299000.0,0.0,3299000.0,2375000.0,924000.0
112,TRX-00046,DTL-000112,20250328,556,79,19,2,46,21,1,18999000,18999000.0,0.0,18999000.0,13679000.0,5320000.0
113,TRX-00046,DTL-000113,20250328,556,86,19,2,46,14,2,1199000,2398000.0,71940.0,2326060.0,1726000.0,600060.0
114,TRX-00047,DTL-000114,20240101,278,17,16,3,47,21,1,22999000,22999000.0,0.0,22999000.0,16559000.0,6440000.0
115,TRX-00047,DTL-000115,20240101,278,51,16,3,47,17,3,6499000,19497000.0,2339640.0,17157360.0,14037000.0,3120360.0
116,TRX-00047,DTL-000116,20240101,278,15,16,3,47,17,1,13599000,13599000.0,1631880.0,11967120.0,9791000.0,2176120.0
117,TRX-00048,DTL-000117,20240705,998,94,17,1,48,21,1,2999000,2999000.0,0.0,2999000.0,2159000.0,840000.0
118,TRX-00048,DTL-000118,20240705,998,48,17,1,48,14,1,16999000,16999000.0,509970.0,16489030.0,12239000.0,4250030.0
119,TRX-00049,DTL-000119,20240421,514,6,10,2,49,19,1,12499000,12499000.0,624950.0,11874050.0,8999000.0,2875050.0
120,TRX-00049,DTL-000120,20240421,514,55,10,2,49,21,1,3299000,3299000.0,0.0,3299000.0,2375000.0,924000.0
121,TRX-00049,DTL-000121,20240421,514,24,10,2,49,12,1,399000,399000.0,39900.0,359100.0,287000.0,72100.0
122,TRX-00050,DTL-000122,20241129,808,5,14,3,50,9,1,13999000,13999000.0,419970.0,13579030.0,10079000.0,3500030.0
123,TRX-00050,DTL-000123,20241129,808,80,14,3,50,11,1,10999000,10999000.0,879920.0,10119080.0,7919000.0,2200080.0
124,TRX-00050,DTL-000124,20241129,808,53,14,3,50,9,2,5099000,10198000.0,305940.0,9892060.0,7342000.0,2550060.0
125,TRX-00051,DTL-000125,20250217,825,58,5,2,51,8,2,4999000,9998000.0,499900.0,9498100.0,7198000.0,2300100.0
126,TRX-00051,DTL-000126,20250217,825,97,5,2,51,21,1,1565000,1565000.0,0.0,1565000.0,1127000.0,438000.0
127,TRX-00051,DTL-000127,20250217,825,34,5,2,51,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
128,TRX-00052,DTL-000128,20250530,77,46,8,3,52,21,1,2999000,2999000.0,0.0,2999000.0,2159000.0,840000.0
129,TRX-00053,DTL-000129,20250203,256,48,9,3,53,20,1,16999000,16999000.0,849950.0,16149050.0,12239000.0,3910050.0
130,TRX-00053,DTL-000130,20250203,256,57,9,3,53,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
131,TRX-00053,DTL-000131,20250203,256,46,9,3,53,15,1,2999000,2999000.0,239920.0,2759080.0,2159000.0,600080.0
132,TRX-00053,DTL-000132,20250203,256,9,9,3,53,21,1,12999000,12999000.0,0.0,12999000.0,9359000.0,3640000.0
133,TRX-00054,DTL-000133,20240603,576,95,3,3,54,21,1,399000,399000.0,0.0,399000.0,287000.0,112000.0
134,TRX-00054,DTL-000134,20240603,576,12,3,3,54,21,1,11499000,11499000.0,0.0,11499000.0,8279000.0,3220000.0
135,TRX-00055,DTL-000135,20241117,766,21,7,1,55,21,1,2499000,2499000.0,0.0,2499000.0,1799000.0,700000.0
136,TRX-00056,DTL-000136,20240124,438,15,13,2,56,21,1,13599000,13599000.0,0.0,13599000.0,9791000.0,3808000.0
137,TRX-00056,DTL-000137,20240124,438,13,13,2,56,13,1,6499000,6499000.0,649900.0,5849100.0,4679000.0,1170100.0
138,TRX-00056,DTL-000138,20240124,438,96,13,2,56,21,3,1599000,4797000.0,0.0,4797000.0,3453000.0,1344000.0
139,TRX-00057,DTL-000139,20241207,579,7,3,2,57,21,1,9999000,9999000.0,0.0,9999000.0,7199000.0,2800000.0
140,TRX-00057,DTL-000140,20241207,579,66,3,2,57,21,2,5499000,10998000.0,0.0,10998000.0,7918000.0,3080000.0
141,TRX-00057,DTL-000141,20241207,579,47,3,2,57,21,1,12499000,12499000.0,0.0,12499000.0,8999000.0,3500000.0
142,TRX-00058,DTL-000142,20250421,757,85,5,3,58,21,1,399000,399000.0,0.0,399000.0,287000.0,112000.0
143,TRX-00058,DTL-000143,20250421,757,53,5,3,58,21,1,5099000,5099000.0,0.0,5099000.0,3671000.0,1428000.0
144,TRX-00058,DTL-000144,20250421,757,47,5,3,58,21,1,12499000,12499000.0,0.0,12499000.0,8999000.0,3500000.0
145,TRX-00059,DTL-000145,20250203,438,96,5,2,59,14,1,1599000,1599000.0,47970.0,1551030.0,1151000.0,400030.0
146,TRX-00059,DTL-000146,20250203,438,1,5,2,59,18,1,20499000,20499000.0,3074850.0,17424150.0,14759000.0,2665150.0
147,TRX-00059,DTL-000147,20250203,438,5,5,2,59,21,2,13999000,27998000.0,0.0,27998000.0,20158000.0,7840000.0
148,TRX-00059,DTL-000148,20250203,438,38,5,2,59,21,1,1599000,1599000.0,0.0,1599000.0,1151000.0,448000.0
149,TRX-00060,DTL-000149,20240127,41,2,25,2,60,7,1,23499000,23499000.0,2349900.0,21149100.0,16919000.0,4230100.0
150,TRX-00060,DTL-000150,20240127,41,97,25,2,60,5,1,1565000,1565000.0,125200.0,1439800.0,1127000.0,312800.0
151,TRX-00061,DTL-000151,20240128,451,74,4,3,61,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
152,TRX-00061,DTL-000152,20240128,451,89,4,3,61,1,2,779000,1558000.0,46740.0,1511260.0,1122000.0,389260.0
153,TRX-00061,DTL-000153,20240128,451,59,4,3,61,21,1,2299000,2299000.0,0.0,2299000.0,1655000.0,644000.0
154,TRX-00062,DTL-000154,20240628,529,93,4,2,62,21,2,699000,1398000.0,0.0,1398000.0,1006000.0,392000.0
155,TRX-00062,DTL-000155,20240628,529,51,4,2,62,21,1,6499000,6499000.0,0.0,6499000.0,4679000.0,1820000.0
156,TRX-00062,DTL-000156,20240628,529,92,4,2,62,2,1,649000,649000.0,51920.0,597080.0,467000.0,130080.0
157,TRX-00063,DTL-000157,20250412,431,49,13,2,63,20,1,6999000,6999000.0,349950.0,6649050.0,5039000.0,1610050.0
158,TRX-00063,DTL-000158,20250412,431,27,13,2,63,21,1,16499000,16499000.0,0.0,16499000.0,11879000.0,4620000.0
159,TRX-00064,DTL-000159,20240117,332,62,2,1,64,16,1,5999000,5999000.0,299950.0,5699050.0,4319000.0,1380050.0
160,TRX-00065,DTL-000160,20240802,633,45,14,2,65,21,2,3999000,7998000.0,0.0,7998000.0,5758000.0,2240000.0
161,TRX-00065,DTL-000161,20240802,633,71,14,2,65,21,1,4999000,4999000.0,0.0,4999000.0,3599000.0,1400000.0
162,TRX-00066,DTL-000162,20240131,641,53,12,3,66,21,1,5099000,5099000.0,0.0,5099000.0,3671000.0,1428000.0
163,TRX-00066,DTL-000163,20240131,641,71,12,3,66,21,1,4999000,4999000.0,0.0,4999000.0,3599000.0,1400000.0
164,TRX-00066,DTL-000164,20240131,641,88,12,3,66,21,1,2799000,2799000.0,0.0,2799000.0,2015000.0,784000.0
165,TRX-00066,DTL-000165,20240131,641,37,12,3,66,12,2,2999000,5998000.0,599800.0,5398200.0,4318000.0,1080200.0
166,TRX-00067,DTL-000166,20240116,430,48,3,2,67,21,3,16999000,50997000.0,0.0,50997000.0,36717000.0,14280000.0
167,TRX-00067,DTL-000167,20240116,430,10,3,2,67,19,1,12599000,12599000.0,629950.0,11969050.0,9071000.0,2898050.0
168,TRX-00067,DTL-000168,20240116,430,41,3,2,67,15,2,6499000,12998000.0,1039840.0,11958160.0,9358000.0,2600160.0
169,TRX-00067,DTL-000169,20240116,430,45,3,2,67,21,1,3999000,3999000.0,0.0,3999000.0,2879000.0,1120000.0
170,TRX-00068,DTL-000170,20240408,873,13,19,1,68,21,1,6499000,6499000.0,0.0,6499000.0,4679000.0,1820000.0
171,TRX-00069,DTL-000171,20241016,257,3,6,3,69,21,1,18499000,18499000.0,0.0,18499000.0,13319000.0,5180000.0
172,TRX-00069,DTL-000172,20241016,257,92,6,3,69,21,1,649000,649000.0,0.0,649000.0,467000.0,182000.0
173,TRX-00069,DTL-000173,20241016,257,52,6,3,69,21,1,2099000,2099000.0,0.0,2099000.0,1511000.0,588000.0
174,TRX-00070,DTL-000174,20240528,36,34,24,2,70,4,1,5999000,5999000.0,719880.0,5279120.0,4319000.0,960120.0
175,TRX-00070,DTL-000175,20240528,36,92,24,2,70,21,1,649000,649000.0,0.0,649000.0,467000.0,182000.0
176,TRX-00070,DTL-000176,20240528,36,22,24,2,70,21,1,499000,499000.0,0.0,499000.0,359000.0,140000.0
177,TRX-00071,DTL-000177,20250219,270,55,18,2,71,21,1,3299000,3299000.0,0.0,3299000.0,2375000.0,924000.0
178,TRX-00072,DTL-000178,20250514,99,71,22,2,72,21,1,4999000,4999000.0,0.0,4999000.0,3599000.0,1400000.0
179,TRX-00072,DTL-000179,20250514,99,72,22,2,72,21,1,6999000,6999000.0,0.0,6999000.0,5039000.0,1960000.0
180,TRX-00072,DTL-000180,20250514,99,81,22,2,72,14,1,7999000,7999000.0,239970.0,7759030.0,5759000.0,2000030.0
181,TRX-00073,DTL-000181,20241221,963,41,3,2,73,21,2,6499000,12998000.0,0.0,12998000.0,9358000.0,3640000.0
182,TRX-00074,DTL-000182,20240722,616,2,25,3,74,17,1,23499000,23499000.0,2819880.0,20679120.0,16919000.0,3760120.0
183,TRX-00075,DTL-000183,20240611,650,52,20,2,75,21,1,2099000,2099000.0,0.0,2099000.0,1511000.0,588000.0
184,TRX-00075,DTL-000184,20240611,650,66,20,2,75,21,3,5499000,16497000.0,0.0,16497000.0,11877000.0,4620000.0
185,TRX-00075,DTL-000185,20240611,650,8,20,2,75,12,1,10999000,10999000.0,1099900.0,9899100.0,7919000.0,1980100.0
186,TRX-00076,DTL-000186,20250424,308,77,1,1,76,19,1,1999000,1999000.0,99950.0,1899050.0,1439000.0,460050.0
187,TRX-00077,DTL-000187,20250507,974,57,8,2,77,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
188,TRX-00077,DTL-000188,20250507,974,91,8,2,77,21,1,699000,699000.0,0.0,699000.0,503000.0,196000.0
189,TRX-00077,DTL-000189,20250507,974,7,8,2,77,21,1,9999000,9999000.0,0.0,9999000.0,7199000.0,2800000.0
190,TRX-00078,DTL-000190,20240604,283,56,25,1,78,3,1,5799000,5799000.0,463920.0,5335080.0,4175000.0,1160080.0
191,TRX-00078,DTL-000191,20240604,283,86,25,1,78,21,1,1199000,1199000.0,0.0,1199000.0,863000.0,336000.0
192,TRX-00079,DTL-000192,20250410,773,80,24,2,79,21,3,10999000,32997000.0,0.0,32997000.0,23757000.0,9240000.0
193,TRX-00079,DTL-000193,20250410,773,83,24,2,79,14,2,7499000,14998000.0,449940.0,14548060.0,10798000.0,3750060.0
194,TRX-00079,DTL-000194,20250410,773,89,24,2,79,15,1,779000,779000.0,62320.0,716680.0,561000.0,155680.0
195,TRX-00079,DTL-000195,20250410,773,21,24,2,79,3,1,2499000,2499000.0,199920.0,2299080.0,1799000.0,500080.0
196,TRX-00080,DTL-000196,20240904,987,40,14,1,80,21,1,15999000,15999000.0,0.0,15999000.0,11519000.0,4480000.0
197,TRX-00080,DTL-000197,20240904,987,99,14,1,80,21,2,3079000,6158000.0,0.0,6158000.0,4434000.0,1724000.0
198,TRX-00081,DTL-000198,20240914,1000,74,23,2,81,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
199,TRX-00081,DTL-000199,20240914,1000,92,23,2,81,21,1,649000,649000.0,0.0,649000.0,467000.0,182000.0
200,TRX-00082,DTL-000200,20250119,684,77,13,3,82,21,1,1999000,1999000.0,0.0,1999000.0,1439000.0,560000.0
201,TRX-00083,DTL-000201,20240901,926,54,20,1,83,20,1,4499000,4499000.0,224950.0,4274050.0,3239000.0,1035050.0
202,TRX-00083,DTL-000202,20240901,926,34,20,1,83,21,2,5999000,11998000.0,0.0,11998000.0,8638000.0,3360000.0
203,TRX-00084,DTL-000203,20250318,1000,17,19,3,84,13,2,22999000,45998000.0,4599800.0,41398200.0,33118000.0,8280200.0
204,TRX-00085,DTL-000204,20241218,803,9,2,2,85,21,1,12999000,12999000.0,0.0,12999000.0,9359000.0,3640000.0
205,TRX-00085,DTL-000205,20241218,803,79,2,2,85,21,1,18999000,18999000.0,0.0,18999000.0,13679000.0,5320000.0
206,TRX-00086,DTL-000206,20240625,361,19,20,3,86,9,2,14999000,29998000.0,899940.0,29098060.0,21598000.0,7500060.0
207,TRX-00086,DTL-000207,20240625,361,50,20,3,86,21,1,8499000,8499000.0,0.0,8499000.0,6119000.0,2380000.0
208,TRX-00087,DTL-000208,20250126,498,66,12,3,87,21,2,5499000,10998000.0,0.0,10998000.0,7918000.0,3080000.0
209,TRX-00087,DTL-000209,20250126,498,1,12,3,87,3,3,20499000,61497000.0,4919760.0,56577240.0,44277000.0,12300240.0
210,TRX-00088,DTL-000210,20241030,408,57,20,3,88,21,1,5999000,5999000.0,0.0,5999000.0,4319000.0,1680000.0
