payment_id,payment_method,payment_status,payment_provider,paid_amount
PAY-00171,Debit Card,Paid,ShopeePay,16348030.0
PAY-00172,Bank Transfer,Paid,Visa,19378080.0
PAY-00173,Bank Transfer,Paid,OVO,36996100.0
PAY-00174,QRIS,Pending,Mastercard,32056240.0
PAY-00175,Bank Transfer,Paid,BCA,5979080.0
PAY-00176,Bank Transfer,Pending,Erajaya POS,44596080.0
PAY-00177,QRIS,Paid,OVO,12397000.0
PAY-00178,Debit Card,Paid,Mastercard,20076060.0
PAY-00179,Credit Card,Paid,Erajaya POS,20576000.0
PAY-00180,Credit Card,Paid,BNI,101994050.0
PAY-00181,Credit Card,Paid,GoPay,6977160.0
PAY-00182,Credit Card,Paid,BNI,2799000.0
PAY-00183,Cash,Paid,Erajaya POS,13867100.0
PAY-00184,Debit Card,Paid,Erajaya POS,36497000.0
PAY-00185,Credit Card,Paid,GoPay,17998000.0
PAY-00186,QRIS,Paid,ShopeePay,25478080.0
PAY-00187,Credit Card,Paid,ShopeePay,8127150.0
PAY-00188,QRIS,Paid,Erajaya POS,13299050.0
PAY-00189,QRIS,Paid,Mastercard,15999000.0
PAY-00190,E-Wallet,Paid,GoPay,32945050.0
PAY-00191,Debit Card,Paid,BRI,10277080.0
PAY-00192,Debit Card,Paid,OVO,16753030.0
PAY-00193,Debit Card,Paid,Mastercard,11249100.0
PAY-00194,Bank Transfer,Paid,Mastercard,33997000.0
PAY-00195,Credit Card,Paid,BCA,29996000.0
PAY-00196,Debit Card,Paid,Visa,31647100.0
PAY-00197,E-Wallet,Paid,BCA,12349050.0
PAY-00198,Debit Card,Refunded,BRI,37461050.0
PAY-00199,Credit Card,Paid,Mastercard,7998000.0
PAY-00200,Bank Transfer,Paid,BRI,11897000.0
PAY-00201,Debit Card,Paid,BRI,4587450.0
PAY-00202,Bank Transfer,Paid,OVO,35205030.0
PAY-00203,Bank Transfer,Paid,BCA,14048200.0
PAY-00204,Debit Card,Paid,BNI,12499000.0
PAY-00205,E-Wallet,Paid,OVO,18830680.0
PAY-00206,E-Wallet,Pending,ShopeePay,7698000.0
PAY-00207,Debit Card,Paid,Mandiri,6098000.0
PAY-00208,QRIS,Paid,GoPay,20997000.0
PAY-00209,E-Wallet,Paid,Mandiri,8677000.0
PAY-00210,QRIS,Paid,ShopeePay,45682080.0
PAY-00211,Debit Card,Paid,GoPay,14858210.0
PAY-00212,Bank Transfer,Paid,BNI,5999000.0
PAY-00213,Bank Transfer,Paid,ShopeePay,6438160.0
PAY-00214,E-Wallet,Paid,Visa,30167160.0
PAY-00215,Bank Transfer,Paid,BCA,23396000.0
PAY-00216,Credit Card,Pending,BCA,3897000.0
PAY-00217,QRIS,Paid,OVO,68695300.0
PAY-00218,Credit Card,Paid,Mandiri,114544200.0
PAY-00219,QRIS,Paid,Erajaya POS,47997000.0
PAY-00220,Cash,Paid,Visa,27697220.0
PAY-00221,Credit Card,Refunded,Mastercard,14898000.0
PAY-00222,Bank Transfer,Paid,Mandiri,68995000.0
PAY-00223,E-Wallet,Paid,Mandiri,12997000.0
PAY-00224,QRIS,Paid,Mandiri,46769150.0
PAY-00225,E-Wallet,Pending,OVO,20136060.0
PAY-00226,Bank Transfer,Paid,BCA,4438800.0
PAY-00227,Bank Transfer,Paid,BRI,5279120.0
PAY-00228,QRIS,Paid,OVO,50155240.0
PAY-00229,QRIS,Paid,Mastercard,11556030.0
PAY-00230,Cash,Paid,BCA,26642180.0
PAY-00231,Debit Card,Paid,Mastercard,45095050.0
PAY-00232,Credit Card,Paid,Erajaya POS,12348100.0
PAY-00233,Bank Transfer,Paid,Erajaya POS,17063050.0
PAY-00234,E-Wallet,Paid,Mandiri,17997000.0
PAY-00235,E-Wallet,Paid,ShopeePay,34998000.0
PAY-00236,E-Wallet,Paid,Mastercard,15999000.0
PAY-00237,Credit Card,Paid,BNI,7898000.0
PAY-00238,QRIS,Paid,BRI,6642080.0
PAY-00239,QRIS,Paid,Mastercard,29117180.0
PAY-00240,Credit Card,Paid,GoPay,14577080.0
PAY-00241,Credit Card,Paid,OVO,5599000.0
PAY-00242,Debit Card,Refunded,Mastercard,18236300.0
PAY-00243,E-Wallet,Paid,BNI,17448050.0
PAY-00244,E-Wallet,Paid,BNI,4999000.0
PAY-00245,Debit Card,Paid,Erajaya POS,9598000.0
PAY-00246,Bank Transfer,Paid,OVO,28042140.0
PAY-00247,Debit Card,Paid,BNI,8634080.0
PAY-00248,E-Wallet,Paid,BRI,67095000.0
PAY-00249,Debit Card,Paid,Mastercard,29497000.0
PAY-00250,Cash,Paid,BNI,26876160.0
PAY-00251,Debit Card,Paid,ShopeePay,17158120.0
PAY-00252,Credit Card,Paid,OVO,7763050.0
PAY-00253,QRIS,Paid,BNI,2499000.0
PAY-00254,Credit Card,Paid,BRI,96732600.0
PAY-00255,Credit Card,Paid,Mastercard,20028030.0
PAY-00256,Bank Transfer,Paid,OVO,56336120.0
PAY-00257,Credit Card,Paid,BCA,17957100.0
PAY-00258,QRIS,Paid,Visa,52271050.0
PAY-00259,QRIS,Paid,GoPay,13137080.0
PAY-00260,Credit Card,Paid,BCA,29197000.0
PAY-00261,Credit Card,Paid,BRI,10136200.0
PAY-00262,QRIS,Paid,GoPay,45896000.0
PAY-00263,Credit Card,Paid,BNI,699000.0
PAY-00264,Credit Card,Paid,Mandiri,49497000.0
PAY-00265,Cash,Paid,Mandiri,11598000.0
PAY-00266,Credit Card,Paid,Mastercard,45313240.0
PAY-00267,E-Wallet,Paid,BNI,59995000.0
PAY-00268,QRIS,Paid,GoPay,3598000.0
PAY-00269,Credit Card,Paid,Mandiri,14407080.0
PAY-00270,Credit Card,Paid,ShopeePay,22098000.0
PAY-00271,QRIS,Paid,BCA,21599060.0
PAY-00272,QRIS,Paid,ShopeePay,39295000.0
PAY-00273,Credit Card,Paid,GoPay,14522120.0
PAY-00274,QRIS,Paid,GoPay,29137030.0
PAY-00275,QRIS,Paid,GoPay,8148000.0
PAY-00276,E-Wallet,Paid,BNI,12197080.0
PAY-00277,Cash,Paid,BCA,9198000.0
PAY-00278,QRIS,Paid,Erajaya POS,6448100.0
PAY-00279,E-Wallet,Failed,Mandiri,68997000.0
PAY-00280,Credit Card,Paid,ShopeePay,32998120.0
PAY-00281,Credit Card,Paid,GoPay,51943100.0
PAY-00282,QRIS,Paid,ShopeePay,22996000.0
PAY-00283,E-Wallet,Paid,BCA,4699000.0
PAY-00284,Credit Card,Paid,BRI,7499000.0
PAY-00285,E-Wallet,Paid,Erajaya POS,12499000.0
PAY-00286,Bank Transfer,Paid,ShopeePay,13597000.0
PAY-00287,Cash,Paid,OVO,21967030.0
PAY-00288,Cash,Paid,ShopeePay,11314160.0
PAY-00289,QRIS,Paid,Erajaya POS,699000.0
PAY-00290,E-Wallet,Paid,Mastercard,35468080.0
PAY-00291,E-Wallet,Paid,Erajaya POS,48765850.0
PAY-00292,QRIS,Paid,BCA,51694100.0
PAY-00293,Cash,Paid,ShopeePay,51794000.0
PAY-00294,Bank Transfer,Paid,Visa,48097000.0
PAY-00295,E-Wallet,Paid,Mastercard,22995000.0
PAY-00296,Debit Card,Paid,ShopeePay,54619030.0
PAY-00297,Credit Card,Paid,Visa,23218080.0
PAY-00298,QRIS,Paid,Erajaya POS,23998000.0
PAY-00299,Credit Card,Paid,BRI,34997000.0
PAY-00300,Cash,Paid,BNI,1599000.0
PAY-00301,Debit Card,Paid,BRI,27998000.0
PAY-00302,QRIS,Paid,Mastercard,19208050.0
PAY-00303,Bank Transfer,Pending,BRI,5637800.0
PAY-00304,Debit Card,Paid,OVO,699000.0
PAY-00305,E-Wallet,Paid,BCA,21473150.0
PAY-00306,E-Wallet,Paid,Mandiri,1565000.0
PAY-00307,Credit Card,Paid,GoPay,25593030.0
PAY-00308,E-Wallet,Paid,Erajaya POS,27995000.0
PAY-00309,QRIS,Refunded,Erajaya POS,3299000.0
PAY-00310,Credit Card,Paid,OVO,29498000.0
PAY-00311,Debit Card,Paid,Mastercard,30098000.0
PAY-00312,Debit Card,Paid,ShopeePay,23296000.0
PAY-00313,QRIS,Paid,Mandiri,14999000.0
PAY-00314,Bank Transfer,Paid,GoPay,29147080.0
PAY-00315,Bank Transfer,Paid,GoPay,29698000.0
PAY-00316,Bank Transfer,Paid,BNI,12796000.0
PAY-00317,E-Wallet,Paid,ShopeePay,5499000.0
PAY-00318,QRIS,Paid,BRI,16499000.0
PAY-00319,Credit Card,Paid,Mastercard,12297000.0
PAY-00320,E-Wallet,Paid,BRI,5625030.0
PAY-00321,Debit Card,Paid,BRI,90568150.0
PAY-00322,E-Wallet,Paid,OVO,53795080.0
PAY-00323,QRIS,Failed,Visa,13692150.0
PAY-00324,Credit Card,Paid,Erajaya POS,22309030.0
PAY-00325,Debit Card,Paid,BCA,23337080.0
PAY-00326,QRIS,Paid,BNI,46497000.0
PAY-00327,Bank Transfer,Paid,GoPay,7998000.0
PAY-00328,E-Wallet,Paid,BCA,27473150.0
PAY-00329,Debit Card,Paid,BNI,15998050.0
PAY-00330,Bank Transfer,Paid,BRI,2023120.0
PAY-00331,Cash,Paid,OVO,15381180.0
PAY-00332,QRIS,Paid,GoPay,17698000.0
PAY-00333,QRIS,Paid,OVO,10198000.0
PAY-00334,Credit Card,Failed,ShopeePay,14999000.0
PAY-00335,Debit Card,Paid,OVO,35387230.0
PAY-00336,E-Wallet,Paid,OVO,47497000.0
PAY-00337,E-Wallet,Paid,Mandiri,32965120.0
PAY-00338,E-Wallet,Paid,Visa,12115060.0
PAY-00339,Debit Card,Paid,Visa,24498000.0
PAY-00340,QRIS,Paid,BCA,2499000.0
PAY-00341,Credit Card,Paid,BCA,16856080.0
PAY-00342,Credit Card,Paid,Mandiri,4946030.0
PAY-00343,Cash,Paid,BRI,3499000.0
PAY-00344,QRIS,Paid,Visa,7759030.0
PAY-00345,Credit Card,Paid,GoPay,4364130.0
PAY-00346,Credit Card,Paid,Mastercard,11998000.0
PAY-00347,Credit Card,Paid,Visa,29998000.0
PAY-00348,Credit Card,Paid,GoPay,9194000.0
PAY-00349,Debit Card,Paid,Mastercard,16698000.0
PAY-00350,Cash,Paid,Mastercard,24195000.0
PAY-00351,Bank Transfer,Paid,Erajaya POS,25896120.0
PAY-00352,E-Wallet,Failed,ShopeePay,5784000.0
PAY-00353,Cash,Paid,Mastercard,48655080.0
PAY-00354,E-Wallet,Paid,Visa,32998000.0
PAY-00355,Credit Card,Paid,GoPay,18382150.0
PAY-00356,Credit Card,Paid,Mastercard,5519080.0
PAY-00357,Bank Transfer,Paid,Erajaya POS,13696000.0
PAY-00358,Debit Card,Refunded,OVO,9898100.0
PAY-00359,Bank Transfer,Paid,BCA,51996000.0
PAY-00360,QRIS,Paid,BNI,3126160.0
PAY-00361,Bank Transfer,Paid,BRI,19931220.0
PAY-00362,Bank Transfer,Paid,Erajaya POS,12999000.0
PAY-00363,E-Wallet,Paid,ShopeePay,13997000.0
PAY-00364,QRIS,Pending,Mastercard,10597000.0
PAY-00365,E-Wallet,Paid,BCA,34418080.0
PAY-00366,Bank Transfer,Paid,ShopeePay,66141030.0
PAY-00367,QRIS,Paid,GoPay,11998000.0
PAY-00368,Credit Card,Paid,Visa,17391250.0
PAY-00369,Debit Card,Paid,GoPay,26077000.0
PAY-00370,Debit Card,Paid,ShopeePay,7748050.0
PAY-00371,QRIS,Paid,Mandiri,5485750.0
PAY-00372,QRIS,Paid,Erajaya POS,1898000.0
PAY-00373,Bank Transfer,Paid,ShopeePay,51835100.0
PAY-00374,Cash,Paid,BRI,10998000.0
PAY-00375,Credit Card,Paid,GoPay,39895300.0
PAY-00376,E-Wallet,Paid,Mastercard,13499000.0
PAY-00377,Credit Card,Paid,Mandiri,40760060.0
PAY-00378,E-Wallet,Failed,OVO,20895000.0
PAY-00379,QRIS,Paid,Mandiri,23372050.0
PAY-00380,Bank Transfer,Paid,OVO,37231170.0
PAY-00381,QRIS,Paid,OVO,26595000.0
PAY-00382,Bank Transfer,Paid,BRI,9348050.0
PAY-00383,Credit Card,Paid,Erajaya POS,5518050.0
PAY-00384,Cash,Paid,ShopeePay,9614080.0
PAY-00385,Credit Card,Paid,BCA,34536200.0
PAY-00386,Credit Card,Refunded,OVO,34120270.0
PAY-00387,E-Wallet,Paid,Visa,25377900.0
PAY-00388,E-Wallet,Pending,GoPay,20875240.0
PAY-00389,Debit Card,Paid,ShopeePay,9797000.0
PAY-00390,E-Wallet,Paid,Visa,16048050.0
PAY-00391,E-Wallet,Paid,Erajaya POS,34998000.0
PAY-00392,Credit Card,Paid,BCA,7297000.0
PAY-00393,Debit Card,Paid,Erajaya POS,4078000.0
PAY-00394,E-Wallet,Paid,BRI,7499000.0
PAY-00395,Bank Transfer,Paid,Erajaya POS,42856400.0
PAY-00396,Credit Card,Paid,BRI,47595120.0
PAY-00397,Bank Transfer,Paid,BRI,5797000.0
PAY-00398,Bank Transfer,Paid,Mandiri,6629000.0
PAY-00399,Cash,Paid,BNI,10162030.0
PAY-00400,E-Wallet,Paid,Mastercard,15999000.0
PAY-00401,Credit Card,Paid,Mandiri,13627050.0
PAY-00402,Credit Card,Paid,Erajaya POS,42157280.0
PAY-00403,Credit Card,Paid,GoPay,20998000.0
PAY-00404,QRIS,Failed,OVO,24495000.0
PAY-00405,Credit Card,Paid,OVO,20548030.0
PAY-00406,Debit Card,Paid,GoPay,7572050.0
PAY-00407,Credit Card,Paid,BRI,27037030.0
PAY-00408,Debit Card,Paid,Erajaya POS,64896000.0
PAY-00409,E-Wallet,Paid,OVO,699000.0
PAY-00410,E-Wallet,Paid,Mastercard,10996000.0
PAY-00411,Debit Card,Paid,BRI,56919150.0
PAY-00412,E-Wallet,Paid,Erajaya POS,15997000.0
PAY-00413,QRIS,Paid,ShopeePay,25893080.0
PAY-00414,Debit Card,Paid,BNI,40738080.0
PAY-00415,E-Wallet,Paid,OVO,699000.0
PAY-00416,QRIS,Paid,BNI,36956120.0
PAY-00417,QRIS,Paid,GoPay,24817120.0
PAY-00418,E-Wallet,Paid,Mastercard,29795000.0
PAY-00419,E-Wallet,Paid,BRI,13998000.0
PAY-00420,Cash,Paid,BRI,51965350.0
PAY-00421,QRIS,Paid,Erajaya POS,12598100.0
PAY-00422,Bank Transfer,Paid,BNI,11597050.0
PAY-00423,Debit Card,Paid,Mastercard,27934240.0
PAY-00424,E-Wallet,Paid,Mandiri,20792080.0
PAY-00425,QRIS,Paid,BRI,29436420.0
PAY-00426,Cash,Paid,Erajaya POS,30787030.0
PAY-00427,Bank Transfer,Failed,Mandiri,30997000.0
PAY-00428,Credit Card,Paid,Mandiri,5692440.0
PAY-00429,Credit Card,Failed,BCA,32997000.0
PAY-00430,Credit Card,Paid,BNI,15667060.0
PAY-00431,Credit Card,Paid,Mandiri,29070120.0
PAY-00432,E-Wallet,Paid,Erajaya POS,35796120.0
PAY-00433,E-Wallet,Paid,Visa,16654030.0
PAY-00434,Bank Transfer,Paid,Mastercard,7737390.0
PAY-00435,E-Wallet,Pending,OVO,36693000.0
PAY-00436,Credit Card,Paid,BRI,30098000.0
PAY-00437,Bank Transfer,Paid,ShopeePay,13996000.0
PAY-00438,Debit Card,Paid,Erajaya POS,758100.0
PAY-00439,QRIS,Paid,BRI,22497000.0
PAY-00440,E-Wallet,Paid,Mandiri,8897000.0
PAY-00441,QRIS,Paid,BRI,40877160.0
PAY-00442,E-Wallet,Pending,BCA,4999000.0
PAY-00443,Debit Card,Paid,GoPay,23212130.0
PAY-00444,QRIS,Paid,BRI,22835440.0
PAY-00445,Bank Transfer,Paid,Mandiri,10609030.0
PAY-00446,Debit Card,Paid,Visa,9317100.0
PAY-00447,E-Wallet,Paid,BRI,29837130.0
PAY-00448,Cash,Paid,Visa,6556080.0
PAY-00449,E-Wallet,Paid,Mastercard,15491050.0
PAY-00450,E-Wallet,Refunded,BRI,28091030.0
PAY-00451,E-Wallet,Paid,OVO,75460210.0
PAY-00452,Debit Card,Paid,GoPay,32096080.0
PAY-00453,Credit Card,Paid,Visa,11774110.0
PAY-00454,Credit Card,Paid,BCA,53656240.0
PAY-00455,Cash,Paid,BRI,45137080.0
PAY-00456,Credit Card,Paid,Visa,29907030.0
PAY-00457,QRIS,Paid,BCA,13674090.0
PAY-00458,Bank Transfer,Paid,Mandiri,34496000.0
PAY-00459,Credit Card,Refunded,Erajaya POS,19337080.0
PAY-00460,Credit Card,Paid,Erajaya POS,19518120.0
PAY-00461,Cash,Paid,GoPay,13863000.0
PAY-00462,Debit Card,Paid,BRI,30957080.0
PAY-00463,Debit Card,Failed,GoPay,20455100.0
PAY-00464,Credit Card,Paid,BNI,31991050.0
PAY-00465,Debit Card,Paid,BNI,15299100.0
PAY-00466,Credit Card,Paid,Erajaya POS,39366230.0
PAY-00467,QRIS,Paid,BRI,15498000.0
PAY-00468,E-Wallet,Paid,ShopeePay,32495000.0
PAY-00469,Credit Card,Paid,GoPay,19232130.0
PAY-00470,Debit Card,Paid,Mandiri,13499000.0
PAY-00471,Credit Card,Paid,BCA,11346100.0
PAY-00472,E-Wallet,Paid,Mastercard,15376230.0
PAY-00473,Cash,Paid,Erajaya POS,32566180.0
PAY-00474,Bank Transfer,Paid,BCA,5078100.0
PAY-00475,E-Wallet,Paid,Mastercard,25390160.0
PAY-00476,E-Wallet,Paid,Visa,47210390.0
PAY-00477,E-Wallet,Paid,Mastercard,5998000.0
PAY-00478,Cash,Paid,Mastercard,24796000.0
PAY-00479,Bank Transfer,Paid,ShopeePay,20598050.0
PAY-00480,Credit Card,Paid,Mandiri,499000.0
PAY-00481,Bank Transfer,Paid,BCA,14696000.0
PAY-00482,QRIS,Paid,GoPay,30997000.0
PAY-00483,E-Wallet,Paid,BNI,643080.0
PAY-00484,Bank Transfer,Paid,ShopeePay,15999000.0
PAY-00485,QRIS,Paid,OVO,22235090.0
PAY-00486,QRIS,Paid,BRI,21297000.0
PAY-00487,QRIS,Paid,Mandiri,42916160.0
PAY-00488,Debit Card,Paid,Mandiri,399000.0
PAY-00489,Debit Card,Paid,GoPay,24497000.0
