inventory_id,snapshot_date,store_id,product_id,stock_quantity,reorder_level,stock_status
INV-STORE-001-PROD-0050,2025-05-31,STORE-001,PROD-0050,26,11,Available
INV-STORE-001-PROD-0051,2025-05-31,STORE-001,PROD-0051,106,11,Available
INV-STORE-001-PROD-0052,2025-05-31,STORE-001,PROD-0052,96,9,Available
INV-STORE-001-PROD-0053,2025-05-31,STORE-001,PROD-0053,13,21,Low Stock
INV-STORE-001-PROD-0054,2025-05-31,STORE-001,PROD-0054,63,13,Available
INV-STORE-001-PROD-0055,2025-05-31,STORE-001,PROD-0055,75,13,Available
INV-STORE-001-PROD-0056,2025-05-31,STORE-001,PROD-0056,65,15,Available
INV-STORE-001-PROD-0057,2025-05-31,STORE-001,PROD-0057,84,12,Available
INV-STORE-001-PROD-0058,2025-05-31,STORE-001,PROD-0058,1,14,Low Stock
INV-STORE-001-PROD-0059,2025-05-31,STORE-001,PROD-0059,12,19,Low Stock
INV-STORE-001-PROD-0060,2025-05-31,STORE-001,PROD-0060,26,22,Available
INV-STORE-001-PROD-0061,2025-05-31,STORE-001,PROD-0061,88,10,Available
INV-STORE-001-PROD-0062,2025-05-31,STORE-001,PROD-0062,33,13,Available
INV-STORE-001-PROD-0063,2025-05-31,STORE-001,PROD-0063,25,5,Available
INV-STORE-001-PROD-0064,2025-05-31,STORE-001,PROD-0064,65,16,Available
INV-STORE-001-PROD-0065,2025-05-31,STORE-001,PROD-0065,59,14,Available
INV-STORE-001-PROD-0066,2025-05-31,STORE-001,PROD-0066,13,18,Low Stock
INV-STORE-001-PROD-0067,2025-05-31,STORE-001,PROD-0067,28,7,Available
INV-STORE-001-PROD-0068,2025-05-31,STORE-001,PROD-0068,111,11,Available
INV-STORE-001-PROD-0069,2025-05-31,STORE-001,PROD-0069,10,9,Available
INV-STORE-001-PROD-0070,2025-05-31,STORE-001,PROD-0070,89,8,Available
INV-STORE-001-PROD-0071,2025-05-31,STORE-001,PROD-0071,109,21,Available
INV-STORE-001-PROD-0072,2025-05-31,STORE-001,PROD-0072,85,19,Available
INV-STORE-001-PROD-0073,2025-05-31,STORE-001,PROD-0073,5,7,Low Stock
INV-STORE-001-PROD-0074,2025-05-31,STORE-001,PROD-0074,114,19,Available
INV-STORE-001-PROD-0075,2025-05-31,STORE-001,PROD-0075,42,12,Available
INV-STORE-001-PROD-0076,2025-05-31,STORE-001,PROD-0076,9,18,Low Stock
INV-STORE-001-PROD-0077,2025-05-31,STORE-001,PROD-0077,54,22,Available
INV-STORE-001-PROD-0078,2025-05-31,STORE-001,PROD-0078,12,19,Low Stock
INV-STORE-001-PROD-0079,2025-05-31,STORE-001,PROD-0079,117,10,Available
INV-STORE-001-PROD-0080,2025-05-31,STORE-001,PROD-0080,109,16,Available
INV-STORE-001-PROD-0081,2025-05-31,STORE-001,PROD-0081,0,7,Stockout
INV-STORE-001-PROD-0082,2025-05-31,STORE-001,PROD-0082,95,14,Available
INV-STORE-001-PROD-0083,2025-05-31,STORE-001,PROD-0083,105,20,Available
INV-STORE-001-PROD-0084,2025-05-31,STORE-001,PROD-0084,35,18,Available
INV-STORE-001-PROD-0085,2025-05-31,STORE-001,PROD-0085,72,25,Available
INV-STORE-001-PROD-0086,2025-05-31,STORE-001,PROD-0086,70,16,Available
INV-STORE-001-PROD-0087,2025-05-31,STORE-001,PROD-0087,37,9,Available
INV-STORE-001-PROD-0088,2025-05-31,STORE-001,PROD-0088,116,22,Available
INV-STORE-001-PROD-0089,2025-05-31,STORE-001,PROD-0089,74,19,Available
INV-STORE-001-PROD-0090,2025-05-31,STORE-001,PROD-0090,117,6,Available
INV-STORE-001-PROD-0091,2025-05-31,STORE-001,PROD-0091,43,21,Available
INV-STORE-001-PROD-0092,2025-05-31,STORE-001,PROD-0092,35,21,Available
INV-STORE-001-PROD-0093,2025-05-31,STORE-001,PROD-0093,38,11,Available
INV-STORE-001-PROD-0094,2025-05-31,STORE-001,PROD-0094,48,25,Available
INV-STORE-001-PROD-0095,2025-05-31,STORE-001,PROD-0095,86,18,Available
INV-STORE-001-PROD-0096,2025-05-31,STORE-001,PROD-0096,81,18,Available
INV-STORE-001-PROD-0097,2025-05-31,STORE-001,PROD-0097,118,21,Available
INV-STORE-001-PROD-0098,2025-05-31,STORE-001,PROD-0098,112,21,Available
INV-STORE-001-PROD-0099,2025-05-31,STORE-001,PROD-0099,24,15,Available
INV-STORE-001-PROD-0100,2025-05-31,STORE-001,PROD-0100,18,13,Available
INV-STORE-002-PROD-0001,2025-05-31,STORE-002,PROD-0001,24,13,Available
INV-STORE-002-PROD-0002,2025-05-31,STORE-002,PROD-0002,62,15,Available
INV-STORE-002-PROD-0003,2025-05-31,STORE-002,PROD-0003,107,22,Available
INV-STORE-002-PROD-0004,2025-05-31,STORE-002,PROD-0004,114,16,Available
INV-STORE-002-PROD-0005,2025-05-31,STORE-002,PROD-0005,2,16,Low Stock
INV-STORE-002-PROD-0006,2025-05-31,STORE-002,PROD-0006,108,24,Available
INV-STORE-002-PROD-0007,2025-05-31,STORE-002,PROD-0007,30,18,Available
INV-STORE-002-PROD-0008,2025-05-31,STORE-002,PROD-0008,43,16,Available
INV-STORE-002-PROD-0009,2025-05-31,STORE-002,PROD-0009,39,9,Available
INV-STORE-002-PROD-0010,2025-05-31,STORE-002,PROD-0010,52,12,Available
INV-STORE-002-PROD-0011,2025-05-31,STORE-002,PROD-0011,46,17,Available
INV-STORE-002-PROD-0012,2025-05-31,STORE-002,PROD-0012,58,24,Available
INV-STORE-002-PROD-0013,2025-05-31,STORE-002,PROD-0013,11,9,Available
INV-STORE-002-PROD-0014,2025-05-31,STORE-002,PROD-0014,10,13,Low Stock
INV-STORE-002-PROD-0015,2025-05-31,STORE-002,PROD-0015,23,10,Available
INV-STORE-002-PROD-0016,2025-05-31,STORE-002,PROD-0016,77,6,Available
INV-STORE-002-PROD-0017,2025-05-31,STORE-002,PROD-0017,92,5,Available
INV-STORE-002-PROD-0018,2025-05-31,STORE-002,PROD-0018,35,5,Available
INV-STORE-002-PROD-0019,2025-05-31,STORE-002,PROD-0019,105,25,Available
INV-STORE-002-PROD-0020,2025-05-31,STORE-002,PROD-0020,30,10,Available
INV-STORE-002-PROD-0021,2025-05-31,STORE-002,PROD-0021,51,9,Available
INV-STORE-002-PROD-0022,2025-05-31,STORE-002,PROD-0022,108,16,Available
INV-STORE-002-PROD-0023,2025-05-31,STORE-002,PROD-0023,47,9,Available
INV-STORE-002-PROD-0024,2025-05-31,STORE-002,PROD-0024,117,16,Available
INV-STORE-002-PROD-0025,2025-05-31,STORE-002,PROD-0025,107,19,Available
INV-STORE-002-PROD-0026,2025-05-31,STORE-002,PROD-0026,43,12,Available
INV-STORE-002-PROD-0027,2025-05-31,STORE-002,PROD-0027,3,14,Low Stock
INV-STORE-002-PROD-0028,2025-05-31,STORE-002,PROD-0028,85,16,Available
INV-STORE-002-PROD-0029,2025-05-31,STORE-002,PROD-0029,86,16,Available
INV-STORE-002-PROD-0030,2025-05-31,STORE-002,PROD-0030,8,10,Low Stock
INV-STORE-002-PROD-0031,2025-05-31,STORE-002,PROD-0031,84,23,Available
INV-STORE-002-PROD-0032,2025-05-31,STORE-002,PROD-0032,98,21,Available
INV-STORE-002-PROD-0033,2025-05-31,STORE-002,PROD-0033,98,11,Available
INV-STORE-002-PROD-0034,2025-05-31,STORE-002,PROD-0034,93,22,Available
INV-STORE-002-PROD-0035,2025-05-31,STORE-002,PROD-0035,67,16,Available
INV-STORE-002-PROD-0036,2025-05-31,STORE-002,PROD-0036,22,25,Low Stock
INV-STORE-002-PROD-0037,2025-05-31,STORE-002,PROD-0037,62,19,Available
INV-STORE-002-PROD-0038,2025-05-31,STORE-002,PROD-0038,96,10,Available
INV-STORE-002-PROD-0039,2025-05-31,STORE-002,PROD-0039,25,25,Available
INV-STORE-002-PROD-0040,2025-05-31,STORE-002,PROD-0040,22,10,Available
INV-STORE-002-PROD-0041,2025-05-31,STORE-002,PROD-0041,82,25,Available
INV-STORE-002-PROD-0042,2025-05-31,STORE-002,PROD-0042,25,19,Available
INV-STORE-002-PROD-0043,2025-05-31,STORE-002,PROD-0043,1,22,Low Stock
INV-STORE-002-PROD-0044,2025-05-31,STORE-002,PROD-0044,104,20,Available
INV-STORE-002-PROD-0045,2025-05-31,STORE-002,PROD-0045,57,6,Available
INV-STORE-002-PROD-0046,2025-05-31,STORE-002,PROD-0046,82,23,Available
INV-STORE-002-PROD-0047,2025-05-31,STORE-002,PROD-0047,13,11,Available
INV-STORE-002-PROD-0048,2025-05-31,STORE-002,PROD-0048,45,13,Available
INV-STORE-002-PROD-0049,2025-05-31,STORE-002,PROD-0049,6,20,Low Stock
INV-STORE-002-PROD-0050,2025-05-31,STORE-002,PROD-0050,89,9,Available
INV-STORE-002-PROD-0051,2025-05-31,STORE-002,PROD-0051,100,13,Available
INV-STORE-002-PROD-0052,2025-05-31,STORE-002,PROD-0052,98,25,Available
INV-STORE-002-PROD-0053,2025-05-31,STORE-002,PROD-0053,101,22,Available
INV-STORE-002-PROD-0054,2025-05-31,STORE-002,PROD-0054,13,5,Available
INV-STORE-002-PROD-0055,2025-05-31,STORE-002,PROD-0055,73,11,Available
INV-STORE-002-PROD-0056,2025-05-31,STORE-002,PROD-0056,21,24,Low Stock
INV-STORE-002-PROD-0057,2025-05-31,STORE-002,PROD-0057,33,17,Available
INV-STORE-002-PROD-0058,2025-05-31,STORE-002,PROD-0058,106,7,Available
INV-STORE-002-PROD-0059,2025-05-31,STORE-002,PROD-0059,53,18,Available
INV-STORE-002-PROD-0060,2025-05-31,STORE-002,PROD-0060,93,5,Available
INV-STORE-002-PROD-0061,2025-05-31,STORE-002,PROD-0061,72,16,Available
INV-STORE-002-PROD-0062,2025-05-31,STORE-002,PROD-0062,105,16,Available
INV-STORE-002-PROD-0063,2025-05-31,STORE-002,PROD-0063,35,22,Available
INV-STORE-002-PROD-0064,2025-05-31,STORE-002,PROD-0064,0,11,Stockout
INV-STORE-002-PROD-0065,2025-05-31,STORE-002,PROD-0065,98,17,Available
INV-STORE-002-PROD-0066,2025-05-31,STORE-002,PROD-0066,23,12,Available
INV-STORE-002-PROD-0067,2025-05-31,STORE-002,PROD-0067,30,23,Available
INV-STORE-002-PROD-0068,2025-05-31,STORE-002,PROD-0068,28,20,Available
INV-STORE-002-PROD-0069,2025-05-31,STORE-002,PROD-0069,108,17,Available
INV-STORE-002-PROD-0070,2025-05-31,STORE-002,PROD-0070,81,11,Available
INV-STORE-002-PROD-0071,2025-05-31,STORE-002,PROD-0071,85,14,Available
INV-STORE-002-PROD-0072,2025-05-31,STORE-002,PROD-0072,62,12,Available
INV-STORE-002-PROD-0073,2025-05-31,STORE-002,PROD-0073,119,11,Available
INV-STORE-002-PROD-0074,2025-05-31,STORE-002,PROD-0074,52,17,Available
INV-STORE-002-PROD-0075,2025-05-31,STORE-002,PROD-0075,12,6,Available
INV-STORE-002-PROD-0076,2025-05-31,STORE-002,PROD-0076,64,6,Available
INV-STORE-002-PROD-0077,2025-05-31,STORE-002,PROD-0077,70,12,Available
INV-STORE-002-PROD-0078,2025-05-31,STORE-002,PROD-0078,33,24,Available
INV-STORE-002-PROD-0079,2025-05-31,STORE-002,PROD-0079,3,22,Low Stock
INV-STORE-002-PROD-0080,2025-05-31,STORE-002,PROD-0080,13,10,Available
INV-STORE-002-PROD-0081,2025-05-31,STORE-002,PROD-0081,92,13,Available
INV-STORE-002-PROD-0082,2025-05-31,STORE-002,PROD-0082,1,22,Low Stock
INV-STORE-002-PROD-0083,2025-05-31,STORE-002,PROD-0083,15,8,Available
INV-STORE-002-PROD-0084,2025-05-31,STORE-002,PROD-0084,76,17,Available
INV-STORE-002-PROD-0085,2025-05-31,STORE-002,PROD-0085,87,18,Available
INV-STORE-002-PROD-0086,2025-05-31,STORE-002,PROD-0086,76,19,Available
INV-STORE-002-PROD-0087,2025-05-31,STORE-002,PROD-0087,40,12,Available
INV-STORE-002-PROD-0088,2025-05-31,STORE-002,PROD-0088,100,19,Available
INV-STORE-002-PROD-0089,2025-05-31,STORE-002,PROD-0089,75,13,Available
INV-STORE-002-PROD-0090,2025-05-31,STORE-002,PROD-0090,9,7,Available
INV-STORE-002-PROD-0091,2025-05-31,STORE-002,PROD-0091,103,24,Available
INV-STORE-002-PROD-0092,2025-05-31,STORE-002,PROD-0092,120,25,Available
INV-STORE-002-PROD-0093,2025-05-31,STORE-002,PROD-0093,56,20,Available
INV-STORE-002-PROD-0094,2025-05-31,STORE-002,PROD-0094,37,17,Available
INV-STORE-002-PROD-0095,2025-05-31,STORE-002,PROD-0095,6,6,Available
INV-STORE-002-PROD-0096,2025-05-31,STORE-002,PROD-0096,44,11,Available
INV-STORE-002-PROD-0097,2025-05-31,STORE-002,PROD-0097,83,5,Available
INV-STORE-002-PROD-0098,2025-05-31,STORE-002,PROD-0098,110,10,Available
INV-STORE-002-PROD-0099,2025-05-31,STORE-002,PROD-0099,0,6,Stockout
INV-STORE-002-PROD-0100,2025-05-31,STORE-002,PROD-0100,62,19,Available
INV-STORE-003-PROD-0001,2025-05-31,STORE-003,PROD-0001,119,16,Available
INV-STORE-003-PROD-0002,2025-05-31,STORE-003,PROD-0002,61,24,Available
INV-STORE-003-PROD-0003,2025-05-31,STORE-003,PROD-0003,33,7,Available
INV-STORE-003-PROD-0004,2025-05-31,STORE-003,PROD-0004,28,15,Available
INV-STORE-003-PROD-0005,2025-05-31,STORE-003,PROD-0005,15,9,Available
INV-STORE-003-PROD-0006,2025-05-31,STORE-003,PROD-0006,27,16,Available
INV-STORE-003-PROD-0007,2025-05-31,STORE-003,PROD-0007,38,10,Available
INV-STORE-003-PROD-0008,2025-05-31,STORE-003,PROD-0008,103,5,Available
INV-STORE-003-PROD-0009,2025-05-31,STORE-003,PROD-0009,120,13,Available
INV-STORE-003-PROD-0010,2025-05-31,STORE-003,PROD-0010,93,25,Available
INV-STORE-003-PROD-0011,2025-05-31,STORE-003,PROD-0011,13,21,Low Stock
INV-STORE-003-PROD-0012,2025-05-31,STORE-003,PROD-0012,5,10,Low Stock
INV-STORE-003-PROD-0013,2025-05-31,STORE-003,PROD-0013,11,14,Low Stock
INV-STORE-003-PROD-0014,2025-05-31,STORE-003,PROD-0014,114,15,Available
INV-STORE-003-PROD-0015,2025-05-31,STORE-003,PROD-0015,4,20,Low Stock
INV-STORE-003-PROD-0016,2025-05-31,STORE-003,PROD-0016,108,19,Available
INV-STORE-003-PROD-0017,2025-05-31,STORE-003,PROD-0017,80,8,Available
INV-STORE-003-PROD-0018,2025-05-31,STORE-003,PROD-0018,61,8,Available
INV-STORE-003-PROD-0019,2025-05-31,STORE-003,PROD-0019,5,12,Low Stock
INV-STORE-003-PROD-0020,2025-05-31,STORE-003,PROD-0020,70,9,Available
INV-STORE-003-PROD-0021,2025-05-31,STORE-003,PROD-0021,14,25,Low Stock
INV-STORE-003-PROD-0022,2025-05-31,STORE-003,PROD-0022,69,19,Available
INV-STORE-003-PROD-0023,2025-05-31,STORE-003,PROD-0023,76,21,Available
INV-STORE-003-PROD-0024,2025-05-31,STORE-003,PROD-0024,51,14,Available
INV-STORE-003-PROD-0025,2025-05-31,STORE-003,PROD-0025,89,12,Available
INV-STORE-003-PROD-0026,2025-05-31,STORE-003,PROD-0026,90,18,Available
INV-STORE-003-PROD-0027,2025-05-31,STORE-003,PROD-0027,62,25,Available
INV-STORE-003-PROD-0028,2025-05-31,STORE-003,PROD-0028,55,15,Available
INV-STORE-003-PROD-0029,2025-05-31,STORE-003,PROD-0029,108,17,Available
INV-STORE-003-PROD-0030,2025-05-31,STORE-003,PROD-0030,118,12,Available
INV-STORE-003-PROD-0031,2025-05-31,STORE-003,PROD-0031,87,7,Available
INV-STORE-003-PROD-0032,2025-05-31,STORE-003,PROD-0032,1,6,Low Stock
INV-STORE-003-PROD-0033,2025-05-31,STORE-003,PROD-0033,109,25,Available
INV-STORE-003-PROD-0034,2025-05-31,STORE-003,PROD-0034,38,5,Available
INV-STORE-003-PROD-0035,2025-05-31,STORE-003,PROD-0035,50,5,Available
INV-STORE-003-PROD-0036,2025-05-31,STORE-003,PROD-0036,62,6,Available
INV-STORE-003-PROD-0037,2025-05-31,STORE-003,PROD-0037,89,7,Available
INV-STORE-003-PROD-0038,2025-05-31,STORE-003,PROD-0038,101,8,Available
INV-STORE-003-PROD-0039,2025-05-31,STORE-003,PROD-0039,2,12,Low Stock
INV-STORE-003-PROD-0040,2025-05-31,STORE-003,PROD-0040,7,14,Low Stock
INV-STORE-003-PROD-0041,2025-05-31,STORE-003,PROD-0041,32,23,Available
INV-STORE-003-PROD-0042,2025-05-31,STORE-003,PROD-0042,103,16,Available
INV-STORE-003-PROD-0043,2025-05-31,STORE-003,PROD-0043,114,12,Available
INV-STORE-003-PROD-0044,2025-05-31,STORE-003,PROD-0044,1,14,Low Stock
INV-STORE-003-PROD-0045,2025-05-31,STORE-003,PROD-0045,25,23,Available
INV-STORE-003-PROD-0046,2025-05-31,STORE-003,PROD-0046,33,22,Available
INV-STORE-003-PROD-0047,2025-05-31,STORE-003,PROD-0047,24,18,Available
INV-STORE-003-PROD-0048,2025-05-31,STORE-003,PROD-0048,84,11,Available
INV-STORE-003-PROD-0049,2025-05-31,STORE-003,PROD-0049,97,16,Available
INV-STORE-003-PROD-0050,2025-05-31,STORE-003,PROD-0050,48,13,Available
INV-STORE-003-PROD-0051,2025-05-31,STORE-003,PROD-0051,42,11,Available
INV-STORE-003-PROD-0052,2025-05-31,STORE-003,PROD-0052,109,21,Available
INV-STORE-003-PROD-0053,2025-05-31,STORE-003,PROD-0053,77,21,Available
INV-STORE-003-PROD-0054,2025-05-31,STORE-003,PROD-0054,4,12,Low Stock
INV-STORE-003-PROD-0055,2025-05-31,STORE-003,PROD-0055,103,13,Available
INV-STORE-003-PROD-0056,2025-05-31,STORE-003,PROD-0056,29,17,Available
INV-STORE-003-PROD-0057,2025-05-31,STORE-003,PROD-0057,9,20,Low Stock
INV-STORE-003-PROD-0058,2025-05-31,STORE-003,PROD-0058,81,18,Available
INV-STORE-003-PROD-0059,2025-05-31,STORE-003,PROD-0059,20,24,Low Stock
INV-STORE-003-PROD-0060,2025-05-31,STORE-003,PROD-0060,114,21,Available
INV-STORE-003-PROD-0061,2025-05-31,STORE-003,PROD-0061,97,20,Available
INV-STORE-003-PROD-0062,2025-05-31,STORE-003,PROD-0062,99,25,Available
INV-STORE-003-PROD-0063,2025-05-31,STORE-003,PROD-0063,6,8,Low Stock
INV-STORE-003-PROD-0064,2025-05-31,STORE-003,PROD-0064,94,23,Available
INV-STORE-003-PROD-0065,2025-05-31,STORE-003,PROD-0065,8,13,Low Stock
INV-STORE-003-PROD-0066,2025-05-31,STORE-003,PROD-0066,70,9,Available
INV-STORE-003-PROD-0067,2025-05-31,STORE-003,PROD-0067,35,12,Available
INV-STORE-003-PROD-0068,2025-05-31,STORE-003,PROD-0068,93,8,Available
INV-STORE-003-PROD-0069,2025-05-31,STORE-003,PROD-0069,72,22,Available
INV-STORE-003-PROD-0070,2025-05-31,STORE-003,PROD-0070,12,12,Available
INV-STORE-003-PROD-0071,2025-05-31,STORE-003,PROD-0071,118,8,Available
INV-STORE-003-PROD-0072,2025-05-31,STORE-003,PROD-0072,67,13,Available
INV-STORE-003-PROD-0073,2025-05-31,STORE-003,PROD-0073,48,10,Available
INV-STORE-003-PROD-0074,2025-05-31,STORE-003,PROD-0074,90,24,Available
INV-STORE-003-PROD-0075,2025-05-31,STORE-003,PROD-0075,6,8,Low Stock
INV-STORE-003-PROD-0076,2025-05-31,STORE-003,PROD-0076,29,20,Available
INV-STORE-003-PROD-0077,2025-05-31,STORE-003,PROD-0077,100,12,Available
INV-STORE-003-PROD-0078,2025-05-31,STORE-003,PROD-0078,63,25,Available
INV-STORE-003-PROD-0079,2025-05-31,STORE-003,PROD-0079,28,25,Available
INV-STORE-003-PROD-0080,2025-05-31,STORE-003,PROD-0080,0,15,Stockout
INV-STORE-003-PROD-0081,2025-05-31,STORE-003,PROD-0081,106,19,Available
INV-STORE-003-PROD-0082,2025-05-31,STORE-003,PROD-0082,83,21,Available
INV-STORE-003-PROD-0083,2025-05-31,STORE-003,PROD-0083,72,14,Available
INV-STORE-003-PROD-0084,2025-05-31,STORE-003,PROD-0084,77,8,Available
INV-STORE-003-PROD-0085,2025-05-31,STORE-003,PROD-0085,66,8,Available
INV-STORE-003-PROD-0086,2025-05-31,STORE-003,PROD-0086,118,20,Available
INV-STORE-003-PROD-0087,2025-05-31,STORE-003,PROD-0087,9,16,Low Stock
INV-STORE-003-PROD-0088,2025-05-31,STORE-003,PROD-0088,4,9,Low Stock
INV-STORE-003-PROD-0089,2025-05-31,STORE-003,PROD-0089,37,22,Available
INV-STORE-003-PROD-0090,2025-05-31,STORE-003,PROD-0090,117,5,Available
INV-STORE-003-PROD-0091,2025-05-31,STORE-003,PROD-0091,25,12,Available
INV-STORE-003-PROD-0092,2025-05-31,STORE-003,PROD-0092,9,16,Low Stock
INV-STORE-003-PROD-0093,2025-05-31,STORE-003,PROD-0093,26,13,Available
INV-STORE-003-PROD-0094,2025-05-31,STORE-003,PROD-0094,20,23,Low Stock
INV-STORE-003-PROD-0095,2025-05-31,STORE-003,PROD-0095,94,8,Available
INV-STORE-003-PROD-0096,2025-05-31,STORE-003,PROD-0096,94,12,Available
INV-STORE-003-PROD-0097,2025-05-31,STORE-003,PROD-0097,28,7,Available
INV-STORE-003-PROD-0098,2025-05-31,STORE-003,PROD-0098,51,21,Available
INV-STORE-003-PROD-0099,2025-05-31,STORE-003,PROD-0099,47,15,Available
INV-STORE-003-PROD-0100,2025-05-31,STORE-003,PROD-0100,22,5,Available
INV-STORE-004-PROD-0001,2025-05-31,STORE-004,PROD-0001,120,7,Available
INV-STORE-004-PROD-0002,2025-05-31,STORE-004,PROD-0002,61,20,Available
INV-STORE-004-PROD-0003,2025-05-31,STORE-004,PROD-0003,45,21,Available
INV-STORE-004-PROD-0004,2025-05-31,STORE-004,PROD-0004,0,24,Stockout
INV-STORE-004-PROD-0005,2025-05-31,STORE-004,PROD-0005,53,19,Available
INV-STORE-004-PROD-0006,2025-05-31,STORE-004,PROD-0006,0,13,Stockout
INV-STORE-004-PROD-0007,2025-05-31,STORE-004,PROD-0007,112,11,Available
INV-STORE-004-PROD-0008,2025-05-31,STORE-004,PROD-0008,19,22,Low Stock
INV-STORE-004-PROD-0009,2025-05-31,STORE-004,PROD-0009,28,23,Available
INV-STORE-004-PROD-0010,2025-05-31,STORE-004,PROD-0010,90,13,Available
INV-STORE-004-PROD-0011,2025-05-31,STORE-004,PROD-0011,88,17,Available
INV-STORE-004-PROD-0012,2025-05-31,STORE-004,PROD-0012,94,6,Available
INV-STORE-004-PROD-0013,2025-05-31,STORE-004,PROD-0013,51,19,Available
INV-STORE-004-PROD-0014,2025-05-31,STORE-004,PROD-0014,89,18,Available
INV-STORE-004-PROD-0015,2025-05-31,STORE-004,PROD-0015,10,9,Available
INV-STORE-004-PROD-0016,2025-05-31,STORE-004,PROD-0016,61,12,Available
INV-STORE-004-PROD-0017,2025-05-31,STORE-004,PROD-0017,15,10,Available
INV-STORE-004-PROD-0018,2025-05-31,STORE-004,PROD-0018,68,22,Available
INV-STORE-004-PROD-0019,2025-05-31,STORE-004,PROD-0019,115,5,Available
INV-STORE-004-PROD-0020,2025-05-31,STORE-004,PROD-0020,16,22,Low Stock
