transaction_id,transaction_date,customer_id,store_id,channel_id,channel_name,channel_type,payment_id,salesperson_id
TRX-00030,2025-05-13 17:22:00,CUST-0766,STORE-017,CH_MKT,Marketplace,Online,PAY-00030,
TRX-00031,2024-01-24 21:18:00,CUST-0503,STORE-008,CH_OFF,Offline Store,Offline,PAY-00031,EMP-049
TRX-00032,2024-10-12 14:49:00,CUST-0109,STORE-022,CH_OFF,Offline Store,Offline,PAY-00032,EMP-041
TRX-00033,2024-01-04 17:53:00,CUST-0476,STORE-021,CH_OFF,Offline Store,Offline,PAY-00033,EMP-023
TRX-00034,2025-02-22 09:20:00,CUST-0171,STORE-019,CH_OFF,Offline Store,Offline,PAY-00034,EMP-061
TRX-00035,2024-09-02 11:30:00,CUST-0944,STORE-007,CH_WEB,Online Web,Online,PAY-00035,
TRX-00036,2025-05-27 19:07:00,CUST-0858,STORE-011,CH_MKT,Marketplace,Online,PAY-00036,
TRX-00037,2024-05-03 20:49:00,CUST-0547,STORE-023,CH_MKT,Marketplace,Online,PAY-00037,
TRX-00038,2025-03-26 15:50:00,CUST-0150,STORE-009,CH_OFF,Offline Store,Offline,PAY-00038,EMP-075
TRX-00039,2025-05-18 21:15:00,CUST-0351,STORE-010,CH_MKT,Marketplace,Online,PAY-00039,
TRX-00040,2024-10-25 13:45:00,CUST-0650,STORE-010,CH_OFF,Offline Store,Offline,PAY-00040,EMP-061
TRX-00041,2024-01-13 13:23:00,CUST-0764,STORE-017,CH_OFF,Offline Store,Offline,PAY-00041,EMP-052
TRX-00042,2025-05-08 11:30:00,CUST-0015,STORE-022,CH_WEB,Online Web,Online,PAY-00042,
TRX-00043,2024-07-26 14:42:00,,STORE-021,CH_MKT,Marketplace,Online,PAY-00043,
TRX-00044,2024-02-27 16:36:00,CUST-0251,STORE-009,CH_MKT,Marketplace,Online,PAY-00044,
TRX-00045,2024-03-06 11:33:00,CUST-0213,STORE-008,CH_WEB,Online Web,Online,PAY-00045,
TRX-00046,2025-03-28 10:30:00,CUST-0556,STORE-019,CH_OFF,Offline Store,Offline,PAY-00046,EMP-028
TRX-00047,2024-01-01 13:48:00,CUST-0278,STORE-016,CH_WEB,Online Web,Online,PAY-00047,
TRX-00048,2024-07-05 16:00:00,CUST-0998,STORE-017,CH_MKT,Marketplace,Online,PAY-00048,
TRX-00049,2024-04-21 21:14:00,CUST-0514,STORE-010,CH_OFF,Offline Store,Offline,PAY-00049,EMP-041
TRX-00050,2024-11-29 17:30:00,CUST-0808,STORE-014,CH_WEB,Online Web,Online,PAY-00050,
TRX-00051,2025-02-17 09:26:00,CUST-0825,STORE-005,CH_OFF,Offline Store,Offline,PAY-00051,EMP-059
TRX-00052,2025-05-30 16:54:00,CUST-0077,STORE-008,CH_WEB,Online Web,Online,PAY-00052,
TRX-00053,2025-02-03 20:58:00,CUST-0256,STORE-009,CH_WEB,Online Web,Online,PAY-00053,
TRX-00054,2024-06-03 18:19:00,CUST-0576,STORE-003,CH_WEB,Online Web,Online,PAY-00054,
TRX-00055,2024-11-17 14:57:00,CUST-0766,STORE-007,CH_MKT,Marketplace,Online,PAY-00055,
TRX-00056,2024-01-24 11:07:00,CUST-0438,STORE-013,CH_OFF,Offline Store,Offline,PAY-00056,EMP-063
TRX-00057,2024-12-07 19:04:00,CUST-0579,STORE-003,CH_OFF,Offline Store,Offline,PAY-00057,EMP-072
TRX-00058,2025-04-21 16:56:00,CUST-0757,STORE-005,CH_WEB,Online Web,Online,PAY-00058,
TRX-00059,2025-02-03 09:00:00,CUST-0438,STORE-005,CH_OFF,Offline Store,Offline,PAY-00059,EMP-034
TRX-00060,2024-01-27 17:38:00,CUST-0041,STORE-025,CH_OFF,Offline Store,Offline,PAY-00060,EMP-017
TRX-00061,2024-01-28 11:56:00,CUST-0451,STORE-004,CH_WEB,Online Web,Online,PAY-00061,
TRX-00062,2024-06-28 17:58:00,CUST-0529,STORE-004,CH_OFF,Offline Store,Offline,PAY-00062,EMP-021
TRX-00063,2025-04-12 09:00:00,CUST-0431,STORE-013,CH_OFF,Offline Store,Offline,PAY-00063,EMP-013
TRX-00064,2024-01-17 13:46:00,CUST-0332,STORE-002,CH_MKT,Marketplace,Online,PAY-00064,
TRX-00065,2024-08-02 20:42:00,CUST-0633,STORE-014,CH_OFF,Offline Store,Offline,PAY-00065,EMP-021
TRX-00066,2024-01-31 16:13:00,CUST-0641,STORE-012,CH_WEB,Online Web,Online,PAY-00066,
TRX-00067,2024-01-16 14:57:00,CUST-0430,STORE-003,CH_OFF,Offline Store,Offline,PAY-00067,EMP-015
TRX-00068,2024-04-08 16:31:00,CUST-0873,STORE-019,CH_MKT,Marketplace,Online,PAY-00068,
TRX-00069,2024-10-16 18:06:00,CUST-0257,STORE-006,CH_WEB,Online Web,Online,PAY-00069,
TRX-00070,2024-05-28 18:47:00,CUST-0036,STORE-024,CH_OFF,Offline Store,Offline,PAY-00070,EMP-050
TRX-00071,2025-02-19 16:13:00,CUST-0270,STORE-018,CH_OFF,Offline Store,Offline,PAY-00071,EMP-057
TRX-00072,2025-05-14 21:35:00,CUST-0099,STORE-022,CH_OFF,Offline Store,Offline,PAY-00072,EMP-044
TRX-00073,2024-12-21 13:28:00,CUST-0963,STORE-003,CH_OFF,Offline Store,Offline,PAY-00073,EMP-065
TRX-00074,2024-07-22 20:47:00,CUST-0616,STORE-025,CH_WEB,Online Web,Online,PAY-00074,
TRX-00075,2024-06-11 10:43:00,CUST-0650,STORE-020,CH_OFF,Offline Store,Offline,PAY-00075,EMP-029
TRX-00076,2025-04-24 14:08:00,CUST-0308,STORE-001,CH_MKT,Marketplace,Online,PAY-00076,
TRX-00077,2025-05-07 11:48:00,CUST-0974,STORE-008,CH_OFF,Offline Store,Offline,PAY-00077,EMP-051
TRX-00078,2024-06-04 12:28:00,CUST-0283,STORE-025,CH_MKT,Marketplace,Online,PAY-00078,
TRX-00079,2025-04-10 11:04:00,CUST-0773,STORE-024,CH_OFF,Offline Store,Offline,PAY-00079,EMP-044
TRX-00080,2024-09-04 19:31:00,CUST-0987,STORE-014,CH_MKT,Marketplace,Online,PAY-00080,
TRX-00081,2024-09-14 14:05:00,,STORE-023,CH_OFF,Offline Store,Offline,PAY-00081,EMP-063
TRX-00082,2025-01-19 18:33:00,CUST-0684,STORE-013,CH_WEB,Online Web,Online,PAY-00082,
TRX-00083,2024-09-01 14:37:00,CUST-0926,STORE-020,CH_MKT,Marketplace,Online,PAY-00083,
TRX-00084,2025-03-18 19:58:00,,STORE-019,CH_WEB,Online Web,Online,PAY-00084,
TRX-00085,2024-12-18 14:15:00,CUST-0803,STORE-002,CH_OFF,Offline Store,Offline,PAY-00085,EMP-042
TRX-00086,2024-06-25 16:54:00,CUST-0361,STORE-020,CH_WEB,Online Web,Online,PAY-00086,
TRX-00087,2025-01-26 12:16:00,CUST-0498,STORE-012,CH_WEB,Online Web,Online,PAY-00087,
TRX-00088,2024-10-30 21:35:00,CUST-0408,STORE-020,CH_WEB,Online Web,Online,PAY-00088,
TRX-00089,2024-10-27 18:36:00,CUST-0332,STORE-008,CH_OFF,Offline Store,Offline,PAY-00089,EMP-057
TRX-00090,2024-10-30 12:01:00,CUST-0495,STORE-015,CH_OFF,Offline Store,Offline,PAY-00090,EMP-054
TRX-00091,2025-01-07 21:51:00,CUST-0380,STORE-012,CH_WEB,Online Web,Online,PAY-00091,
TRX-00092,2024-11-17 10:51:00,CUST-0234,STORE-024,CH_WEB,Online Web,Online,PAY-00092,
TRX-00093,2025-03-22 10:10:00,,STORE-015,CH_OFF,Offline Store,Offline,PAY-00093,EMP-072
TRX-00094,2025-05-17 15:45:00,CUST-0137,STORE-013,CH_WEB,Online Web,Online,PAY-00094,
TRX-00095,2024-11-18 09:39:00,,STORE-025,CH_MKT,Marketplace,Online,PAY-00095,
TRX-00096,2024-07-02 11:01:00,CUST-0507,STORE-024,CH_WEB,Online Web,Online,PAY-00096,
TRX-00097,2025-04-30 11:54:00,CUST-0099,STORE-010,CH_OFF,Offline Store,Offline,PAY-00097,EMP-046
TRX-00098,2024-03-24 14:28:00,CUST-0537,STORE-009,CH_OFF,Offline Store,Offline,PAY-00098,EMP-003
TRX-00099,2025-05-25 11:34:00,CUST-0354,STORE-004,CH_OFF,Offline Store,Offline,PAY-00099,EMP-020
TRX-00100,2024-02-09 17:56:00,CUST-0964,STORE-004,CH_OFF,Offline Store,Offline,PAY-00100,EMP-040
TRX-00101,2024-04-29 19:35:00,,STORE-008,CH_WEB,Online Web,Online,PAY-00101,
TRX-00102,2024-04-03 19:41:00,CUST-0540,STORE-019,CH_OFF,Offline Store,Offline,PAY-00102,EMP-074
TRX-00103,2025-05-18 10:20:00,CUST-0625,STORE-013,CH_OFF,Offline Store,Offline,PAY-00103,EMP-040
TRX-00104,2024-06-26 19:20:00,CUST-0548,STORE-001,CH_MKT,Marketplace,Online,PAY-00104,
TRX-00105,2024-07-01 17:23:00,CUST-0046,STORE-007,CH_WEB,Online Web,Online,PAY-00105,
TRX-00106,2024-01-16 09:59:00,CUST-0922,STORE-023,CH_OFF,Offline Store,Offline,PAY-00106,EMP-015
TRX-00107,2024-09-21 15:43:00,CUST-0885,STORE-021,CH_WEB,Online Web,Online,PAY-00107,
TRX-00108,2024-07-13 21:31:00,CUST-0011,STORE-021,CH_WEB,Online Web,Online,PAY-00108,
TRX-00109,2024-09-19 19:45:00,CUST-0408,STORE-010,CH_MKT,Marketplace,Online,PAY-00109,
TRX-00110,2024-02-06 16:30:00,CUST-0235,STORE-002,CH_OFF,Offline Store,Offline,PAY-00110,EMP-050
TRX-00111,2024-02-12 19:59:00,CUST-0998,STORE-007,CH_OFF,Offline Store,Offline,PAY-00111,EMP-027
TRX-00112,2024-10-25 17:04:00,CUST-0643,STORE-007,CH_OFF,Offline Store,Offline,PAY-00112,EMP-043
TRX-00113,2024-01-18 18:46:00,CUST-0956,STORE-011,CH_OFF,Offline Store,Offline,PAY-00113,EMP-048
TRX-00114,2024-05-02 12:48:00,CUST-0578,STORE-018,CH_WEB,Online Web,Online,PAY-00114,
TRX-00115,2024-08-31 19:31:00,CUST-0354,STORE-021,CH_OFF,Offline Store,Offline,PAY-00115,EMP-059
TRX-00116,2024-06-13 14:47:00,,STORE-010,CH_MKT,Marketplace,Online,PAY-00116,
TRX-00117,2024-12-27 12:25:00,CUST-0428,STORE-015,CH_WEB,Online Web,Online,PAY-00117,
TRX-00118,2025-01-07 16:35:00,CUST-0812,STORE-014,CH_OFF,Offline Store,Offline,PAY-00118,EMP-048
TRX-00119,2024-06-09 19:24:00,CUST-0443,STORE-006,CH_OFF,Offline Store,Offline,PAY-00119,EMP-057
TRX-00120,2025-02-15 18:50:00,CUST-0155,STORE-014,CH_WEB,Online Web,Online,PAY-00120,
TRX-00121,2024-03-07 10:01:00,,STORE-002,CH_WEB,Online Web,Online,PAY-00121,
TRX-00122,2025-04-02 16:21:00,CUST-0297,STORE-010,CH_MKT,Marketplace,Online,PAY-00122,
TRX-00123,2025-04-25 20:17:00,CUST-0926,STORE-008,CH_OFF,Offline Store,Offline,PAY-00123,EMP-015
TRX-00124,2024-07-05 16:57:00,,STORE-016,CH_MKT,Marketplace,Online,PAY-00124,
TRX-00125,2025-05-21 09:39:00,CUST-0428,STORE-006,CH_OFF,Offline Store,Offline,PAY-00125,EMP-047
TRX-00126,2024-12-06 17:02:00,CUST-0949,STORE-020,CH_WEB,Online Web,Online,PAY-00126,
TRX-00127,2024-10-03 20:24:00,CUST-0823,STORE-017,CH_WEB,Online Web,Online,PAY-00127,
TRX-00128,2024-04-26 09:51:00,CUST-0781,STORE-004,CH_MKT,Marketplace,Online,PAY-00128,
TRX-00129,2024-03-13 11:37:00,CUST-0893,STORE-015,CH_MKT,Marketplace,Online,PAY-00129,
TRX-00130,2024-03-22 15:20:00,CUST-0198,STORE-016,CH_OFF,Offline Store,Offline,PAY-00130,EMP-026
TRX-00131,2024-07-12 20:07:00,CUST-0078,STORE-007,CH_OFF,Offline Store,Offline,PAY-00131,EMP-024
TRX-00132,2024-09-14 13:48:00,CUST-0064,STORE-003,CH_OFF,Offline Store,Offline,PAY-00132,EMP-064
TRX-00133,2025-01-05 20:43:00,CUST-0983,STORE-003,CH_OFF,Offline Store,Offline,PAY-00133,EMP-073
TRX-00134,2024-07-13 12:37:00,CUST-0708,STORE-012,CH_MKT,Marketplace,Online,PAY-00134,
TRX-00135,2025-01-29 15:01:00,CUST-0808,STORE-011,CH_OFF,Offline Store,Offline,PAY-00135,EMP-049
TRX-00136,2024-06-11 13:53:00,CUST-0563,STORE-009,CH_OFF,Offline Store,Offline,PAY-00136,EMP-030
TRX-00137,2024-04-18 10:20:00,CUST-0623,STORE-010,CH_OFF,Offline Store,Offline,PAY-00137,EMP-019
TRX-00138,2024-05-04 18:08:00,CUST-0350,STORE-024,CH_OFF,Offline Store,Offline,PAY-00138,EMP-048
TRX-00139,2025-05-02 21:17:00,CUST-0592,STORE-011,CH_WEB,Online Web,Online,PAY-00139,
TRX-00140,2024-01-20 14:32:00,CUST-0394,STORE-025,CH_OFF,Offline Store,Offline,PAY-00140,EMP-019
TRX-00141,2025-01-07 21:03:00,CUST-0229,STORE-021,CH_WEB,Online Web,Online,PAY-00141,
TRX-00142,2024-11-17 18:56:00,CUST-0844,STORE-021,CH_OFF,Offline Store,Offline,PAY-00142,EMP-025
TRX-00143,2024-01-30 19:41:00,CUST-0081,STORE-012,CH_OFF,Offline Store,Offline,PAY-00143,EMP-060
TRX-00144,2024-06-15 18:08:00,CUST-0018,STORE-004,CH_OFF,Offline Store,Offline,PAY-00144,EMP-007
TRX-00145,2024-02-10 17:03:00,CUST-0731,STORE-005,CH_WEB,Online Web,Online,PAY-00145,
TRX-00146,2025-02-26 14:48:00,,STORE-013,CH_OFF,Offline Store,Offline,PAY-00146,EMP-070
TRX-00147,2024-04-28 21:58:00,CUST-0233,STORE-008,CH_OFF,Offline Store,Offline,PAY-00147,EMP-008
TRX-00148,2024-11-26 15:48:00,CUST-0406,STORE-001,CH_OFF,Offline Store,Offline,PAY-00148,EMP-066
TRX-00149,2025-01-11 17:57:00,CUST-0407,STORE-007,CH_OFF,Offline Store,Offline,PAY-00149,EMP-020
TRX-00150,2024-07-19 14:57:00,CUST-0123,STORE-021,CH_OFF,Offline Store,Offline,PAY-00150,EMP-037
TRX-00151,2024-07-29 12:48:00,CUST-0766,STORE-010,CH_WEB,Online Web,Online,PAY-00151,
TRX-00152,2024-07-04 14:13:00,CUST-0738,STORE-013,CH_OFF,Offline Store,Offline,PAY-00152,EMP-042
TRX-00153,2024-04-19 09:54:00,,STORE-002,CH_OFF,Offline Store,Offline,PAY-00153,EMP-002
TRX-00154,2024-01-23 13:49:00,,STORE-004,CH_OFF,Offline Store,Offline,PAY-00154,EMP-039
TRX-00155,2025-05-02 11:00:00,CUST-0743,STORE-008,CH_MKT,Marketplace,Online,PAY-00155,
TRX-00156,2025-02-11 19:24:00,,STORE-016,CH_OFF,Offline Store,Offline,PAY-00156,EMP-056
TRX-00157,2024-10-05 12:15:00,CUST-0830,STORE-001,CH_OFF,Offline Store,Offline,PAY-00157,EMP-006
TRX-00158,2025-01-15 20:35:00,CUST-0329,STORE-024,CH_OFF,Offline Store,Offline,PAY-00158,EMP-045
TRX-00159,2024-09-16 11:21:00,CUST-0661,STORE-015,CH_OFF,Offline Store,Offline,PAY-00159,EMP-058
TRX-00160,2024-05-22 21:13:00,CUST-0406,STORE-003,CH_MKT,Marketplace,Online,PAY-00160,
TRX-00161,2024-11-29 20:53:00,CUST-0562,STORE-013,CH_OFF,Offline Store,Offline,PAY-00161,EMP-067
TRX-00162,2024-04-20 16:09:00,CUST-0712,STORE-010,CH_WEB,Online Web,Online,PAY-00162,
TRX-00163,2024-03-14 10:16:00,CUST-0122,STORE-014,CH_OFF,Offline Store,Offline,PAY-00163,EMP-046
TRX-00164,2025-05-26 14:22:00,,STORE-023,CH_MKT,Marketplace,Online,PAY-00164,
TRX-00165,2025-01-24 09:31:00,CUST-0089,STORE-016,CH_MKT,Marketplace,Online,PAY-00165,
TRX-00166,2025-04-25 09:20:00,CUST-0796,STORE-023,CH_OFF,Offline Store,Offline,PAY-00166,EMP-058
TRX-00167,2025-04-19 13:44:00,CUST-0821,STORE-018,CH_OFF,Offline Store,Offline,PAY-00167,EMP-007
TRX-00168,2024-06-07 10:12:00,CUST-0256,STORE-001,CH_OFF,Offline Store,Offline,PAY-00168,EMP-050
TRX-00169,2024-05-22 11:47:00,CUST-0620,STORE-019,CH_OFF,Offline Store,Offline,PAY-00169,EMP-004
TRX-00170,2024-10-12 15:35:00,CUST-0069,STORE-003,CH_OFF,Offline Store,Offline,PAY-00170,EMP-012
TRX-00171,2024-07-20 16:42:00,CUST-0383,STORE-018,CH_OFF,Offline Store,Offline,PAY-00171,EMP-034
TRX-00172,2024-03-02 17:50:00,,STORE-017,CH_OFF,Offline Store,Offline,PAY-00172,EMP-035
TRX-00173,2024-08-07 10:11:00,CUST-0649,STORE-021,CH_OFF,Offline Store,Offline,PAY-00173,EMP-070
TRX-00174,2024-09-25 15:03:00,CUST-0044,STORE-011,CH_MKT,Marketplace,Online,PAY-00174,
TRX-00175,2024-06-10 12:38:00,CUST-0510,STORE-025,CH_MKT,Marketplace,Online,PAY-00175,
TRX-00176,2025-02-06 13:29:00,CUST-0940,STORE-011,CH_OFF,Offline Store,Offline,PAY-00176,EMP-039
TRX-00177,2024-05-20 16:21:00,CUST-0502,STORE-011,CH_OFF,Offline Store,Offline,PAY-00177,EMP-069
TRX-00178,2024-07-14 14:19:00,CUST-0344,STORE-017,CH_MKT,Marketplace,Online,PAY-00178,
TRX-00179,2024-07-28 21:29:00,CUST-0178,STORE-004,CH_OFF,Offline Store,Offline,PAY-00179,EMP-038
TRX-00180,2024-12-15 11:16:00,CUST-0259,STORE-004,CH_OFF,Offline Store,Offline,PAY-00180,EMP-049
TRX-00181,2025-03-13 19:31:00,CUST-0488,STORE-014,CH_OFF,Offline Store,Offline,PAY-00181,EMP-050
TRX-00182,2024-04-08 20:43:00,CUST-0041,STORE-022,CH_OFF,Offline Store,Offline,PAY-00182,EMP-073
TRX-00183,2024-09-30 17:22:00,CUST-0156,STORE-001,CH_OFF,Offline Store,Offline,PAY-00183,EMP-071
TRX-00184,2024-10-03 21:31:00,CUST-0253,STORE-014,CH_WEB,Online Web,Online,PAY-00184,
TRX-00185,2025-01-30 16:13:00,CUST-0868,STORE-003,CH_MKT,Marketplace,Online,PAY-00185,
TRX-00186,2025-05-18 15:50:00,CUST-0351,STORE-011,CH_OFF,Offline Store,Offline,PAY-00186,EMP-003
TRX-00187,2025-02-17 12:13:00,CUST-0415,STORE-009,CH_OFF,Offline Store,Offline,PAY-00187,EMP-032
TRX-00188,2025-01-03 15:01:00,CUST-0742,STORE-015,CH_OFF,Offline Store,Offline,PAY-00188,EMP-055
TRX-00189,2024-07-19 09:24:00,CUST-0779,STORE-008,CH_WEB,Online Web,Online,PAY-00189,
TRX-00190,2025-04-08 11:18:00,CUST-0447,STORE-009,CH_MKT,Marketplace,Online,PAY-00190,
TRX-00191,2025-03-09 11:15:00,,STORE-007,CH_OFF,Offline Store,Offline,PAY-00191,EMP-078
TRX-00192,2024-01-09 14:54:00,CUST-0279,STORE-017,CH_OFF,Offline Store,Offline,PAY-00192,EMP-003
TRX-00193,2024-10-12 16:15:00,CUST-0728,STORE-004,CH_OFF,Offline Store,Offline,PAY-00193,EMP-032
TRX-00194,2025-02-08 17:34:00,CUST-0911,STORE-017,CH_WEB,Online Web,Online,PAY-00194,
TRX-00195,2024-06-19 17:54:00,CUST-0825,STORE-002,CH_MKT,Marketplace,Online,PAY-00195,
TRX-00196,2024-07-22 21:01:00,CUST-0794,STORE-021,CH_OFF,Offline Store,Offline,PAY-00196,EMP-019
TRX-00197,2025-02-12 16:45:00,CUST-0904,STORE-007,CH_OFF,Offline Store,Offline,PAY-00197,EMP-060
TRX-00198,2025-01-30 19:55:00,CUST-0613,STORE-010,CH_OFF,Offline Store,Offline,PAY-00198,EMP-046
TRX-00199,2024-10-03 09:01:00,CUST-0646,STORE-017,CH_WEB,Online Web,Online,PAY-00199,
TRX-00200,2025-03-24 21:31:00,CUST-0527,STORE-002,CH_OFF,Offline Store,Offline,PAY-00200,EMP-071
TRX-00201,2024-07-20 10:39:00,CUST-0404,STORE-008,CH_OFF,Offline Store,Offline,PAY-00201,EMP-006
TRX-00202,2024-09-18 12:00:00,CUST-0168,STORE-002,CH_OFF,Offline Store,Offline,PAY-00202,EMP-034
TRX-00203,2024-09-21 18:35:00,CUST-0923,STORE-024,CH_MKT,Marketplace,Online,PAY-00203,
TRX-00204,2024-10-05 14:32:00,CUST-0997,STORE-024,CH_OFF,Offline Store,Offline,PAY-00204,EMP-052
TRX-00205,2024-08-12 12:29:00,CUST-0949,STORE-004,CH_WEB,Online Web,Online,PAY-00205,
TRX-00206,2024-02-28 15:25:00,CUST-0158,STORE-014,CH_MKT,Marketplace,Online,PAY-00206,
TRX-00207,2025-02-19 15:54:00,CUST-0250,STORE-020,CH_OFF,Offline Store,Offline,PAY-00207,EMP-022
TRX-00208,2024-06-04 09:00:00,CUST-0034,STORE-005,CH_MKT,Marketplace,Online,PAY-00208,
TRX-00209,2024-02-09 18:05:00,CUST-0630,STORE-001,CH_OFF,Offline Store,Offline,PAY-00209,EMP-025
TRX-00210,2024-09-23 11:41:00,CUST-0528,STORE-004,CH_OFF,Offline Store,Offline,PAY-00210,EMP-064
TRX-00211,2024-08-28 21:54:00,CUST-0335,STORE-007,CH_OFF,Offline Store,Offline,PAY-00211,EMP-031
TRX-00212,2024-11-23 18:15:00,CUST-0446,STORE-014,CH_WEB,Online Web,Online,PAY-00212,
TRX-00213,2024-02-04 14:10:00,CUST-0354,STORE-003,CH_MKT,Marketplace,Online,PAY-00213,
TRX-00214,2024-11-27 16:08:00,CUST-0764,STORE-023,CH_WEB,Online Web,Online,PAY-00214,
TRX-00215,2024-12-08 11:02:00,CUST-0246,STORE-017,CH_MKT,Marketplace,Online,PAY-00215,
TRX-00216,2025-05-28 12:13:00,CUST-0697,STORE-022,CH_OFF,Offline Store,Offline,PAY-00216,EMP-065
TRX-00217,2024-10-24 17:48:00,CUST-0292,STORE-011,CH_OFF,Offline Store,Offline,PAY-00217,EMP-003
TRX-00218,2024-08-16 16:16:00,CUST-0668,STORE-002,CH_WEB,Online Web,Online,PAY-00218,
TRX-00219,2024-10-07 17:52:00,CUST-0963,STORE-014,CH_WEB,Online Web,Online,PAY-00219,
TRX-00220,2025-05-23 18:13:00,CUST-0566,STORE-010,CH_WEB,Online Web,Online,PAY-00220,
TRX-00221,2024-05-12 20:46:00,CUST-0674,STORE-010,CH_OFF,Offline Store,Offline,PAY-00221,EMP-033
TRX-00222,2024-03-19 11:55:00,CUST-0960,STORE-001,CH_WEB,Online Web,Online,PAY-00222,
TRX-00223,2024-10-11 21:05:00,CUST-0095,STORE-012,CH_OFF,Offline Store,Offline,PAY-00223,EMP-023
TRX-00224,2024-12-16 11:33:00,CUST-0548,STORE-007,CH_OFF,Offline Store,Offline,PAY-00224,EMP-062
TRX-00225,2024-08-20 19:59:00,CUST-0507,STORE-018,CH_MKT,Marketplace,Online,PAY-00225,
TRX-00226,2024-01-08 14:55:00,CUST-0138,STORE-004,CH_OFF,Offline Store,Offline,PAY-00226,EMP-077
TRX-00227,2024-11-20 12:19:00,CUST-0436,STORE-010,CH_WEB,Online Web,Online,PAY-00227,
TRX-00228,2025-02-25 10:33:00,CUST-0511,STORE-010,CH_OFF,Offline Store,Offline,PAY-00228,EMP-039
TRX-00229,2024-09-27 21:21:00,CUST-0127,STORE-006,CH_OFF,Offline Store,Offline,PAY-00229,EMP-074
TRX-00230,2024-10-31 17:42:00,CUST-0917,STORE-013,CH_MKT,Marketplace,Online,PAY-00230,
TRX-00231,2025-01-04 15:34:00,CUST-0163,STORE-019,CH_OFF,Offline Store,Offline,PAY-00231,EMP-072
TRX-00232,2025-02-21 09:43:00,CUST-0280,STORE-019,CH_OFF,Offline Store,Offline,PAY-00232,EMP-025
